,NX035,NX026,NX030,NX020,NX023,NX034,NX031,NX022,NX032,NX025,NX036,NX019,NX029,NX021,NX033,NX027,NX037,NX038,NX028,NX024
DAPP1,-0.39,0.3,-0.63,0.09,-0.54,-0.3,-0.7,-0.64,-0.46,NA,-0.82,-0.84,-0.29,-0.74,-0.79,-0.2,-0.13,0.2,-0.55,-0.24
DARS,-0.09,-0.02,0.18,-0.24,-0.04,-0.06,-0.11,-0.21,-0.19,0.02,0,-0.18,-0.18,0,0.03,-0.08,-0.17,-0.1,-0.05,-0.24
DARS2,-0.35,-0.17,0.18,0.04,-0.26,-0.27,-0.1,-0.35,-0.01,-0.32,-0.01,-0.1,0.58,0.05,0.19,-0.05,-0.05,-0.03,-0.17,-0.23
DAXX,0.1,-0.25,0.33,0.18,0.9,0.56,0.47,0.09,0.49,-0.07,0.24,0.47,0.2,0.47,0.35,-0.19,0.25,0.28,0.24,0.38
DAZAP1,-0.02,0.06,0.12,0.1,-0.12,0.33,0.05,0.08,0.16,0.71,-0.21,-0.09,-0.04,-0.15,-0.06,0.21,-0.1,0.11,0.3,-0.09
DAZAP2,-0.55,0.99,0.61,0.18,0.7,1,0.19,0.06,-0.03,0.72,-0.76,0.83,-0.16,0.2,-0.21,-0.39,0.51,0.34,4.23,0.22
DBH,NA,NA,NA,0.5,1.08,NA,0.65,0.2,NA,NA,-0.57,NA,NA,NA,NA,NA,NA,0.37,0.02,NA
DBI,-0.11,-0.22,-0.62,-0.28,-0.11,-0.06,-0.74,-0.54,-0.31,-0.36,-0.37,-0.86,-0.39,-0.53,-0.12,-0.33,0.03,-0.06,-0.29,-0.29
DBN1,0.15,-0.3,-0.17,0.07,-0.51,-0.01,-0.2,0.34,-0.2,0.5,-0.18,-0.26,-0.4,-0.06,-0.43,0.41,-0.42,-0.31,0.45,0.06
DBNDD1,NA,0.51,0.34,0.49,-0.94,0.06,0.72,NA,-0.58,NA,1.19,0.29,NA,0.5,0.18,NA,-0.22,-0.06,-0.77,0.56
DBNL,-0.07,-0.05,0.09,-0.08,0.38,0.19,-0.01,-0.07,-0.09,0.35,0.13,-0.1,-0.04,-0.06,0.2,0.07,0.08,-0.04,-0.09,0.09
DBR1,0.16,0.11,0.25,0.07,0.11,-0.07,0.18,-0.06,-0.01,0.12,-0.07,0.17,0.04,0.04,-0.3,0.14,-0.01,0,0.17,0.15
DBT,-0.26,-0.22,0.32,0.33,-0.15,-0.25,-0.04,0.1,-0.08,-0.48,0.19,-0.15,0.12,0.33,0.27,-0.33,-0.01,-0.04,-0.17,-0.14
DCAF1,0.03,0.24,0.05,-0.01,0.04,0.19,0.2,-0.26,0.07,-0.03,0.11,-0.09,0.17,0.03,0.01,0.06,0.03,0.22,0.1,0.13
DCAF10,-0.1,-0.4,-0.04,0.12,0.22,-0.04,0.28,-0.03,-0.1,0.05,-0.15,0.36,-0.05,-0.07,-0.01,-0.06,0.19,0.12,-0.1,0.17
DCAF11,0.01,0.13,0.17,0.15,-0.36,-0.02,-0.25,-0.07,0,-0.04,-0.23,-0.07,0,0.04,-0.08,-0.19,-0.11,0.17,0.03,-0.05
DCAF12,-0.32,NA,-0.05,NA,NA,NA,NA,-0.98,0.19,NA,NA,-0.66,NA,NA,NA,0.72,-0.32,NA,-0.34,NA
DCAF13,0.07,-0.05,0.08,-0.2,-0.31,-0.24,-0.28,-0.21,0.01,-0.46,-0.38,-0.63,0.1,-0.06,-0.12,-0.12,-0.23,-0.32,0.13,-0.3
DCAF15,-0.07,-2.91,0.52,0.45,0.07,0.23,0.54,0.22,0.39,0.05,-0.33,-0.76,-0.09,0.09,-1.13,-0.14,-0.55,-0.57,-0.26,0.06
DCAF16,0.29,0.52,0.08,0.04,-0.34,NA,-0.39,0.05,-0.18,-0.17,0.11,-0.73,-0.09,-0.04,-0.19,0.11,-0.2,-0.18,0.34,-0.05
DCAF5,0.44,0.01,0.26,0.09,0.37,0.32,0.27,-0.13,0.38,0.17,0.53,0.07,0.12,0.08,-0.08,0.25,0.07,0.09,0.29,0.25
DCAF6,-0.1,0.21,-0.15,-0.19,0.21,0.3,0.14,-0.18,0.16,-0.09,0,-0.23,-0.13,-0.13,0.07,-0.18,0.24,0.11,-0.18,-0.02
DCAF7,0.13,-0.19,0.13,0.23,0.14,-0.13,0.03,0.2,-0.17,0.1,-0.05,0.14,0.01,0,-0.15,0.03,-0.07,0.02,0.13,0.15
DCAF8,-0.02,-0.21,-0.05,0.05,0.08,0.12,0.03,-0.1,0.17,0.15,0.17,-0.4,0.04,0.07,0.14,-0.16,-0.08,0.02,-0.14,-0.03
DCAKD,0.23,0.38,0.41,0.1,0.02,0.24,0.34,0.38,0.31,0.04,0.18,0.41,0.14,0.62,0.01,0.44,0.25,0.14,0.12,0.33
DCBLD1,0.41,0.88,-0.01,0.1,0.62,0.1,0.3,0.41,0.53,0.2,0.37,-0.28,-0.09,0.21,1.1,0,0.01,-0.06,0.3,0.41
DCBLD2,0.21,-0.29,0.3,-0.16,-0.15,0,-0.12,0.01,-0.39,0.32,0.16,-0.29,0.18,0.26,-0.13,0.24,-0.02,-0.13,-0.26,-0.13
DCDC2,0.24,0.71,0.58,0.07,0.1,0.04,-0.04,-0.19,0.04,-0.27,0.42,-0.95,0.16,0.56,0.24,0.58,0.48,0.24,0.11,-0.47
DCHS1,0.83,1.1,0.66,0.52,0.08,0.32,0.38,0.8,0.03,0.92,-0.03,1.1,-0.02,0.85,-0.2,0.62,0.09,0.36,1.15,0.95
DCK,-0.15,-0.26,-0.44,-0.7,0.36,0.13,-0.25,-0.11,-0.12,-0.22,-0.29,-0.82,-0.06,-0.3,0.1,0.04,-0.23,-0.28,-0.08,-0.19
DCLK1,-0.81,-1,-0.82,-0.33,-1.61,-0.78,-0.74,0.21,-1.2,-1.22,-1,-0.51,-0.99,-0.72,-2.21,-0.52,-0.83,-0.95,-0.58,-1.33
DCLK2,0.63,NA,NA,0.11,NA,0.64,-0.47,0.31,3.23,NA,-0.48,0.52,-0.19,0.32,-0.07,0.61,-0.39,-0.08,0.81,0.25
DCLRE1C,0.22,-0.1,0.07,-0.09,0.09,0.37,0.23,0.29,-0.16,-0.27,-0.03,0.26,0.21,-0.75,0.35,0.52,0.19,0.03,-0.32,-0.29
DCN,-1.1,-1.02,-1.28,0.91,-0.98,-1.56,-1.04,0.39,-1.78,-1.59,-1.32,0.12,-0.27,-1.07,-1.73,-0.75,-0.52,-0.73,-0.75,-0.41
DCP1A,0.2,0.14,-0.22,-0.04,-0.21,0.22,0.19,-0.04,0.17,0.33,0.07,-0.11,-0.04,0.06,-0.13,-0.09,0,-0.05,0.26,0.05
DCP1B,0.09,0.1,-0.08,0.12,0.13,-0.16,-0.13,0.33,-0.08,0,-0.28,0.44,-0.29,0.12,-0.18,-0.21,-0.02,0,0.02,0.37
DCP2,-0.27,0.68,0.17,-0.21,0.25,-0.13,0.02,-0.3,-0.05,-0.09,-0.18,-0.53,0.03,-0.05,-0.02,-0.09,-0.39,-0.06,-0.23,0.04
DCPS,0.03,0.16,0.42,0.78,-0.08,0.19,0.22,0.33,0.08,0.02,0.15,0.13,0.04,0.05,-0.12,-0.2,0.18,0.13,0.34,-0.06
DCTD,0.21,-0.07,0.3,0.36,0.15,0.29,-0.12,0.25,0.13,0.01,0.04,0.05,-0.08,0.33,0.2,0.12,0.12,0.04,0.18,-0.21
DCTN1,-0.14,-0.18,-0.16,-0.21,0.19,0.02,-0.07,-0.01,0.03,0.12,0.17,0.24,-0.15,-0.06,0.08,-0.23,0.05,-0.06,-0.19,-0.03
DCTN2,0.04,-0.03,-0.01,-0.04,0.18,0.02,-0.18,-0.02,0,0.08,0.12,0.15,-0.1,-0.3,0.23,-0.15,0.05,-0.02,-0.17,-0.11
DCTN3,-0.15,-0.03,-0.01,0.03,0.43,-0.3,-0.21,0.25,-0.03,0,-0.3,0.24,-0.13,-0.08,-0.11,-0.09,-0.46,-0.06,-0.11,-0.13
DCTN4,-0.12,-0.09,-0.05,-0.19,0.37,0.1,0.03,-0.01,0.01,0.21,0.24,-0.01,-0.11,0,0.06,-0.12,0.02,-0.04,-0.12,-0.07
DCTN5,0.16,-0.07,-0.1,-0.01,0.24,0.23,-0.01,-0.11,0.03,0.11,0.54,0.36,-0.21,-0.07,0.33,-0.07,-0.05,0.03,-0.1,0
DCTN6,-0.1,0.1,-0.41,-0.12,0.09,0.12,-0.14,-0.19,-0.01,0.06,0.08,-0.12,-0.2,0.03,0.36,-0.36,0,0,-0.23,0.06
DCTPP1,0.15,-0.39,-0.41,-0.4,-0.37,0.53,-0.27,-0.36,0.53,-0.59,0.36,-0.87,-0.2,-0.27,0.35,-0.15,0.35,0.55,-0.11,-0.48
DCUN1D1,-0.31,0.22,-0.01,-0.22,-0.11,-0.41,-0.21,-0.2,-0.16,-0.29,-0.13,-0.48,-0.14,-0.23,0.07,-0.15,-0.09,-0.19,-0.22,-0.02
DCUN1D3,0.14,0.23,0.6,0.23,0.14,0.26,0.42,0.95,0.32,0.73,0.1,0.27,0.02,0.51,0.21,0.05,-0.14,0.28,0.21,0.49
DCUN1D4,0.12,-0.43,0.34,0.41,-0.3,-0.54,-0.4,0.14,-0.4,-0.08,-0.36,0.06,0.02,0.32,-0.42,-0.05,0.02,-0.21,-0.04,0.26
DCUN1D5,-0.02,0.12,0.33,0.26,-0.57,0.04,-0.25,-0.26,-0.28,0.09,-0.21,-0.26,-0.14,0.36,-0.32,-0.11,-0.28,-0.15,0.34,0.22
DCX,-0.87,-2.36,0.24,1.26,NA,-0.96,-1.91,0.53,-2.72,NA,-1.88,-0.16,-1.66,1.45,-4.77,-2.33,0.86,-1.67,0.11,-0.25
DCXR,-0.22,-0.03,-0.26,0.26,-0.52,-0.04,0.08,0.03,0,-0.27,-0.04,0.68,0.06,-0.12,0.26,-0.1,0.27,0.12,-0.04,-0.06
DDA1,0.04,-0.09,0.17,0.19,0.18,0.37,0.16,0.25,0.1,0,0.25,0.07,0.27,0.18,0.26,0.03,0.49,0.13,0.3,0.13
DDAH1,-0.09,-0.4,0.5,0.66,-1.07,-0.18,-0.13,-0.14,-0.38,-0.61,-0.03,-0.76,0.29,0.34,-0.28,-0.24,0.07,0.04,-0.25,-0.26
DDAH2,0.16,0.14,0.77,0.52,0.05,0.1,0.18,0.33,-0.2,0.05,0.01,0.59,-0.02,0.26,-0.45,-0.05,0.15,0.31,0.15,0.07
DDB1,-0.16,0.02,0.01,0.28,-0.08,-0.02,-0.07,-0.07,-0.14,-0.12,-0.2,0.1,-0.16,-0.1,-0.2,0.02,-0.09,-0.01,-0.05,-0.17
DDB2,-0.34,-0.21,-0.48,1,-0.21,-0.33,-0.39,0.05,-0.42,-0.56,-0.66,0.88,0.1,-0.37,-0.78,-0.31,-0.25,-0.22,-0.3,-0.34
DDHD1,0.07,0.1,0.26,0.12,0.8,0.41,0.12,0.03,0.07,0.3,0.02,-0.15,0.08,0.3,-0.01,0.11,0.37,0.1,0.46,0.21
DDHD2,0.03,0.05,0.27,-0.03,-0.24,-0.11,-0.09,0.14,-0.07,0.04,-0.04,0.26,-0.02,0.22,-0.21,-0.11,-0.05,-0.11,0.12,-0.03
DDI2,0.09,0.8,-0.03,0.08,-0.15,0.28,0.03,0.25,0.38,0.23,0.42,-0.07,-0.13,-0.31,0.33,0.13,0.59,0.39,0.13,0.06
DDO,-0.15,0.69,0.08,NA,0.02,-0.05,-0.09,NA,-0.13,0.93,0.62,-0.28,-0.28,-0.31,0.24,-0.05,-0.12,NA,-0.33,-0.07
DDOST,-0.3,-0.03,-0.01,-0.22,-0.18,-0.28,0,-0.05,-0.1,0,-0.24,-0.48,-0.15,-0.36,0.08,0.07,0.01,0.07,-0.01,-0.49
DDR1,-0.14,0.02,0.18,-0.22,-0.48,-0.14,-0.19,-0.3,0.05,-0.51,0.29,-0.68,0.11,0.13,0.08,-0.11,0.16,0.01,-0.03,-0.65
DDR2,1.16,NA,0.56,NA,0.04,0.08,0.81,0.87,NA,0.35,0.2,0.63,NA,0.75,-0.46,0.89,NA,NA,NA,1.04
DDRGK1,-0.02,0.27,0.32,0.25,0.17,0.01,0.46,0.01,-0.28,0,0.05,0.25,-0.01,0.16,0.36,0.21,0.14,0.01,-0.06,-0.24
DDT,0.08,0.33,0.15,-0.03,-0.23,0.6,-0.07,0.01,0.46,0.01,0.06,-0.14,-0.45,0,0.16,-0.15,0.2,0.13,-0.26,0.08
DDX1,0.01,-0.06,0.34,0.32,-0.14,0.06,0.2,-0.03,-0.17,0.06,0.03,0.14,0.05,0.16,-0.11,-0.01,-0.01,0.12,0.1,-0.05
DDX10,0.03,-0.01,-0.17,0.1,-0.11,-0.19,-0.08,-0.19,-0.29,-0.12,-0.38,-0.47,0.01,-0.02,-0.32,-0.09,-0.4,-0.25,0.07,-0.19
DDX11,0.53,-0.27,-0.39,-0.11,-0.19,-0.61,-0.78,0.1,-0.33,0.12,-0.69,-1.15,-0.05,-0.05,-0.62,-0.05,-0.34,-0.31,0.78,-0.29
DDX17,0.12,-0.04,0.23,0.14,-0.14,0.11,0.13,-0.08,-0.01,0,-0.12,0.12,0.11,0.08,-0.27,0.04,-0.11,0.11,0.09,0.03
DDX18,-0.36,-0.4,-0.34,-0.18,-0.23,-0.34,-0.24,-0.28,-0.32,-0.39,-0.4,0.08,-0.17,-0.27,-0.22,-0.09,-0.48,-0.34,-0.11,-0.09
DDX19A,-0.12,-0.17,0.03,-0.17,0.07,0.04,-0.14,-0.13,-0.02,-0.15,-0.09,-0.13,-0.14,0.04,-0.15,0.11,-0.14,-0.15,0.28,-0.09
DDX19B,0.34,-0.35,0.26,0.02,0.13,0.38,-0.14,0.02,0.21,0.22,0.06,-0.51,0.37,0.12,0.54,0.22,0.38,0.13,0.2,0.17
DDX20,0.08,-0.13,-0.01,-0.09,-0.08,-0.05,0.01,-0.19,-0.13,-0.25,-0.24,-0.45,0.13,0.02,-0.09,-0.04,-0.14,-0.09,0.1,-0.08
DDX21,-0.39,-0.58,-0.63,-0.71,-0.35,-0.51,-0.32,-0.48,-0.46,-0.45,-0.56,-0.79,0.01,-0.52,-0.27,-0.37,-0.66,-0.6,-0.31,-0.59
DDX23,0.19,0.17,0.16,0.05,-0.1,0.11,0.21,-0.05,0.05,0.14,-0.02,-0.12,0.21,0.11,0.05,0.03,0.11,0.1,0.16,-0.02
DDX24,-0.16,0.01,-0.07,0.03,0.14,0.19,0.46,-0.37,0.12,-0.26,-0.16,0.35,-0.01,-0.12,0.15,-0.22,0.07,-0.08,-0.18,0.25
DDX27,-0.12,-0.06,0.23,0.12,-0.2,-0.01,-0.17,-0.12,-0.22,-0.2,-0.33,-0.08,0.15,0.08,-0.04,-0.07,-0.33,-0.05,0.07,-0.04
DDX28,0.05,0.26,-0.08,0.45,-0.16,-0.46,-0.13,0.02,-0.5,0.12,-0.3,0.09,0.25,0.23,-0.4,0.05,-0.59,-0.5,0.24,0.01
DDX31,-0.14,0.03,0.12,0,-0.06,-0.31,0.08,0.08,-0.2,-0.28,0,0.78,-0.1,-0.17,0.12,0.13,-0.04,-0.01,0.04,0.01
DDX39A,-0.08,-0.34,-0.26,-0.6,0,-0.1,-0.13,-0.29,0.05,-0.17,-0.11,-0.91,0.07,-0.3,0.14,0.06,-0.33,-0.27,-0.06,-0.09
DDX39B,0.21,-0.04,0.4,0.17,0.14,0.06,0.22,-0.05,0.04,0.03,0.15,0.21,-0.3,0.23,-0.19,0.05,-0.06,0.12,0.09,0.22
DDX3X,-0.12,-0.27,-0.29,-0.4,0.15,-0.15,-0.18,-0.23,-0.24,0.02,-0.17,-0.43,-0.22,-0.16,-0.02,-0.13,-0.21,-0.26,-0.08,-0.16
DDX41,-0.08,0.26,0.04,-0.11,0.08,0.13,0,-0.11,-0.02,0.22,-0.07,-0.16,0,0.12,-0.23,-0.12,-0.1,-0.04,0.14,0.01
DDX42,0.21,0.08,0.23,0.1,-0.15,0.18,0.3,0.2,0.12,0.19,0.08,0.14,0.14,0.23,0.01,0.11,0.02,0.18,0.33,-0.05
DDX46,0.16,-0.15,0.18,0,-0.15,0.24,0.16,-0.1,0.04,0.1,0.02,-0.41,0.1,0.15,0.1,-0.03,0.04,0.12,0.13,0.05
DDX47,0.15,0.14,-0.05,-0.1,-0.01,-0.09,0.05,0.03,-0.09,-0.23,-0.13,-0.17,0.01,-0.09,-0.24,0.14,-0.11,0.1,-0.03,-0.09
DDX49,0.47,0.31,0.24,0.21,0.57,0.02,0.14,0.25,0.1,-0.03,-0.13,-0.01,0.26,-0.06,-0.42,-0.1,-0.14,-0.16,-0.3,-0.07
DDX5,-0.16,-0.2,-0.35,-0.31,-0.06,0.03,-0.12,-0.33,-0.23,-0.14,0.03,-0.79,-0.2,-0.15,-0.17,0.07,-0.27,-0.2,-0.09,-0.26
DDX50,0.2,-0.01,-0.09,-0.04,-0.1,0.07,0.08,-0.17,-0.08,0.14,-0.14,0.06,0.16,0.04,0.03,-0.1,-0.01,0.04,0.14,-0.02
DDX51,0.06,-0.06,0.24,0.22,-0.03,-0.03,0.13,0.01,-0.05,-0.07,0,0.16,0.09,0.17,-0.41,0.09,-0.02,0.05,0.12,-0.09
DDX52,-0.16,-0.24,-0.22,-0.2,-0.25,0.08,-0.01,-0.07,0.16,-0.17,0.24,-0.42,-0.19,-0.16,0.19,-0.08,0.03,-0.06,-0.08,-0.15
DDX54,-0.46,0.01,-0.07,0.02,-0.34,-0.56,-0.36,-0.1,-0.48,-0.21,-0.58,0.36,-0.01,-0.56,-0.71,0.1,-0.7,-0.47,0.14,0.07
DDX55,-0.05,0.61,-0.14,-0.14,0.52,0.17,0.12,0.27,-0.01,-0.02,-0.11,-0.13,0.04,-0.04,-0.15,-0.1,-0.16,-0.16,0.1,0.07
DDX56,-0.01,-0.09,0.02,-0.05,-0.23,-0.15,0.01,-0.25,-0.15,-0.12,-0.32,-0.17,0.23,-0.16,-0.21,-0.13,-0.23,-0.09,0.01,-0.14
DDX58,-0.13,-0.04,-0.06,-0.27,-0.03,-0.3,-0.11,-0.27,-0.3,0.09,0.08,-0.91,-0.24,0.05,0.04,0.37,-0.49,-0.17,-0.24,1.62
DDX59,0.17,-0.24,-0.01,-0.39,0.27,-0.06,0.05,-0.05,-0.23,-0.03,-0.17,0.19,0.12,-0.05,0.09,-0.05,0.05,-0.15,-0.11,-0.21
DDX6,-0.08,-0.15,-0.3,-0.14,-0.16,-0.1,-0.07,-0.08,-0.18,-0.11,-0.16,-0.34,-0.21,-0.16,-0.21,-0.06,-0.21,-0.08,-0.04,-0.05
DDX60,-0.36,0.15,0.11,-0.18,0.08,-0.21,-0.01,-0.2,-0.16,0.17,-0.02,0.06,-0.14,-0.01,0.11,0.04,-0.17,0.02,-0.15,1.03
DDX60L,0.13,0.43,0.46,-0.11,0.04,-0.61,-0.05,-0.37,-0.32,0.1,-0.07,-0.27,-0.17,0.18,-0.44,0.13,-0.11,0.2,-0.05,0.67
DEAF1,0.28,NA,0.3,-0.3,-0.08,1.18,0.15,0.17,0.52,0.16,0.26,0.2,0.2,0.36,0.59,-0.26,-0.09,1.16,0.03,0.29
DECR1,-0.13,0.04,-0.14,0.09,-0.26,-0.16,-0.12,-0.19,-0.05,-0.16,0.02,-0.54,0.26,-0.15,0.12,-0.14,-0.16,-0.04,-0.3,-0.32
DECR2,-0.22,-0.06,-0.72,-0.22,-0.3,0.2,-0.44,-0.73,0.27,-0.36,0.11,-0.87,0.21,-0.45,0.1,-0.26,0.26,-0.28,-0.15,-0.2
DEDD,-0.18,NA,-0.06,-1.31,-0.15,-0.41,1.24,0.08,NA,0.07,1.51,0.43,0.57,-0.35,NA,0,NA,-0.27,-0.6,-0.15
DEF6,-0.1,0.07,-0.54,-0.59,1.04,0.06,-0.13,-0.34,0.48,0.2,-0.1,-0.53,0.11,-0.36,0.55,0.31,0.13,-0.09,-0.65,0.34
DEF8,0.36,2.66,NA,0.34,-0.14,0.05,-0.13,0.2,0.89,NA,-0.07,0.05,-0.3,0.15,-0.31,-0.03,0.12,-0.11,0.48,0.23
DEFA3,-1.43,-1.34,-1.43,-2.22,-1.16,-1.45,-1.96,-1.11,-1.24,-1.46,-2.83,-0.94,-0.18,-2.08,-1.97,-0.2,-1.49,-1.92,-1.53,-1.15
DEFA4,-0.01,0.15,-1.19,-1.95,-0.56,-0.59,-1.19,-0.43,-0.73,-2.18,-1.23,-0.61,0.39,-0.51,-0.97,-0.01,-0.84,-1.02,-0.98,-0.46
DEFA5,NA,NA,NA,NA,0.35,NA,-0.67,NA,-0.93,0.02,-0.56,-0.52,-0.19,-0.65,-1.98,NA,NA,NA,-0.1,-0.24
DEFA6,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,-0.4,NA,NA,NA,NA,NA,NA,NA
DEFB1,1.13,-0.38,-0.15,-1.57,1.31,3.15,0.38,-0.77,2.87,0.11,2.75,1.28,1.26,-0.23,2.56,-0.61,2.2,1.4,-0.44,-0.87
DEFB4A,NA,0.53,NA,NA,NA,-1.25,NA,-0.17,NA,NA,NA,-0.68,NA,NA,NA,NA,-0.47,NA,NA,NA
DEGS1,0.27,-0.02,0.09,0.02,-0.59,0.86,0.97,1.23,1.1,0.62,0.51,1.03,-0.18,0.06,0.17,-0.15,-1.13,0.11,0.62,0.42
DEGS2,0.59,-0.22,NA,NA,NA,NA,NA,NA,NA,-0.08,NA,NA,NA,NA,-0.51,0.26,-1.3,NA,NA,NA
DEK,0.05,-0.07,0.1,-0.14,-0.11,0.01,0.26,-0.13,-0.2,-0.15,-0.38,0.45,-0.01,-0.1,-0.51,-0.16,-0.16,-0.03,0.12,0.05
DENND1A,-0.01,0.09,-0.09,0.12,0.66,-0.05,0.07,0.26,-0.07,0.03,0.01,0.45,-0.13,0.03,0.14,0.06,0.02,-0.14,0,0.24
DENND1B,-0.03,0.36,-0.12,-0.21,0.91,0.13,-0.03,-0.13,0.32,-0.22,0.08,0.16,-0.14,-0.14,0.29,-0.07,0.34,0.46,-0.6,0.22
DENND1C,0.11,0.5,-0.45,0.15,0.97,0.35,0.17,0.1,1.27,0.93,0.72,1.77,0.2,0.14,0.61,0.29,NA,-1.08,-0.01,1.14
DENND2A,0.18,0.37,0.39,0.29,NA,0.04,-0.13,0.84,-0.47,0.54,-0.63,-0.73,-0.13,0.64,-0.97,0.87,-0.31,-0.17,0.75,0.89
DENND2D,-0.36,0.02,0.37,-0.32,-0.27,0.22,-0.24,-0.67,0.11,-0.87,-0.17,-0.2,0.3,-0.06,0.07,-0.16,0.04,0.11,-0.47,-0.28
DENND3,0.15,0.59,-0.25,-0.55,1.25,0.65,-0.34,0.32,0.66,0.15,0.15,0.23,-0.13,-0.05,0.67,0.33,0.53,0.34,-0.34,-0.11
DENND4A,0.06,0.22,-0.15,0,0.39,0.63,0.19,0.09,0.67,0.36,1.1,0.12,-0.13,0.27,1.06,-0.03,0.8,0.88,0.19,0.34
DENND4B,0.13,0.37,-0.1,0.61,-0.01,-0.07,0.26,0.15,0.44,-0.09,0.18,0.41,0.06,-0.23,0.19,0.07,0.19,0.37,0.04,0.17
DENND4C,0.11,-0.17,0.26,0,0.17,0.01,0.14,0.1,0,0.09,0.14,0.38,-0.13,0.13,0.15,-0.19,0.04,0.16,-0.07,0.09
DENND5A,-0.1,-0.26,-0.02,0.41,-0.02,-0.13,0.66,0,0.15,-0.18,0.42,0.89,-0.23,-0.15,-0.15,-0.14,-0.1,0.13,-0.03,0.11
DENND5B,0.31,NA,-0.31,NA,NA,-0.28,-0.41,0.16,-0.75,NA,-0.49,0.96,NA,NA,0.2,0.35,-0.05,NA,-3.54,NA
DENND6A,-0.63,0.69,0.1,0.28,0.38,0.38,0.02,-0.07,0.44,0.13,0.05,0.08,0.06,-0.11,0.27,0.09,0.42,0.15,0.01,0.79
DENR,0.08,-0.19,0.06,-0.66,0.28,0.07,-0.04,-0.11,0.06,0.03,0.19,-0.57,-0.11,-0.24,0.06,-0.03,-0.08,-0.1,-0.19,-0.37
DEPDC5,-0.1,0.26,0.01,0.03,-0.2,-0.09,-0.16,0.29,-0.03,0.33,-0.08,0.52,0.18,0.05,0.03,0.15,-0.02,0.03,0,0.02
DEPTOR,-0.48,-0.56,-0.35,-0.35,-0.17,0.32,-0.31,-0.11,0.38,-0.95,0.75,-0.56,-0.48,-0.49,0.62,-0.77,0.19,0.17,-0.6,-0.53
DERA,0.07,0.31,0.11,0.14,0.3,-0.18,-0.06,0.17,-0.16,0.17,-0.1,0.19,-0.15,0.01,-0.17,-0.02,-0.2,-0.12,0.04,0.26
DERL1,0.16,-0.54,-0.63,-0.43,-0.29,0.11,-0.04,-0.78,0.16,-0.12,-0.54,-6.41,0.02,-0.66,0.27,0.3,0.24,-1.91,0.31,-0.55
DERL2,0.27,0.4,0.09,-0.19,-2.98,0.01,0.91,-0.28,0.36,1.06,0.9,NA,0.17,-0.41,0.95,0.43,0.24,0.26,0.77,-0.56
DES,-2.11,-2.66,-2.06,-0.33,-3.2,-2.47,-2.72,0.34,-2.38,-2.72,-3.76,1.13,-2.99,-1.45,-3.56,-2.63,-0.83,-2.54,-1.9,-1.44
DESI1,0,-0.12,-0.43,0.09,0.87,0.2,0.25,NA,0.7,0.29,1.01,-0.81,NA,-0.15,1.07,0.03,0.39,0.27,0.05,-0.17
DESI2,-0.5,-0.23,0.42,-0.02,0.17,-0.43,-0.22,0.48,-0.25,0.14,-0.13,0.01,0.21,-0.23,-0.49,0.55,-0.4,-0.6,0.24,-0.11
DET1,0.36,0.82,0.9,0.1,0.51,0.31,0.63,1.89,0.21,0.16,0.07,1,-0.27,0.63,0.17,0.14,0.46,0.58,0.16,0.52
DFFA,0.21,-0.21,0.31,0.39,0.05,-0.11,-0.14,0.18,-0.21,0.07,0.07,0.3,0.06,0.15,-0.1,0.11,-0.13,0.22,0.09,-0.02
DFFB,0.02,0.04,0.39,0.36,-0.17,-0.36,0.32,-0.36,-0.46,-0.01,0.1,0.18,0.27,0.43,-0.25,-0.02,-0.39,-0.33,0.28,0.22
DGAT1,0.37,0.44,0.23,0.08,NA,0.24,1.07,NA,NA,0.82,0.84,0.08,0.73,-0.13,-0.33,-0.06,0.3,0.24,0.65,-0.4
DGCR2,0.17,-0.4,0.02,0.3,0.05,-0.93,-0.13,NA,-0.28,-0.8,0.21,-1.5,0.05,0.03,-0.52,0.13,-0.03,0.3,-0.57,-0.06
DGCR8,0.11,0.28,0.09,-0.22,0.19,-0.03,0.13,-0.28,0.03,0.23,0.07,-0.34,0.05,0.2,0.01,0.12,-0.31,-0.03,0.23,0.15
DGKA,-0.18,-0.06,-0.37,-0.19,0.46,-0.08,-0.08,-0.09,-0.14,0.33,-0.16,-0.18,0.03,-0.16,-0.18,-0.06,-0.02,-0.07,-0.16,0.35
DGKE,-0.22,-0.02,0.25,0.03,-0.09,-0.8,0.37,0.01,-0.61,-0.58,-0.13,1.23,0.11,-0.02,-0.32,-0.81,-0.14,-0.4,0.05,-0.5
DGKH,-0.27,0.04,-0.22,-0.22,-0.4,-0.41,-0.7,-0.13,0.05,-0.03,-0.86,-0.31,-0.19,0.2,-0.38,-0.38,-0.2,-0.41,-0.26,0
DGKK,0.22,NA,NA,NA,-0.09,2.3,0.3,0.26,0.68,NA,0.12,0.38,0.29,NA,NA,0.34,NA,NA,0.24,NA
DGKQ,0.24,0.75,-0.36,0.09,0.32,0.06,-0.12,0.02,0.2,0,0.24,0.3,-0.27,-0.28,0.11,0.19,0.11,-0.01,0.24,0.19
DGKZ,0.08,0.28,-0.1,-0.19,1.24,0.18,0.09,-0.16,0.45,-0.12,0.12,-0.29,0,-0.17,0.42,-0.05,0.15,0.06,-0.11,0.3
