,blcdb9-I,263d3f-I,c4155b-C
CSNK2B,-0.98,-0.32,-0.61
CSPG4,0.67,0.44,1.22
CSPP1,NA,NA,NA
CSRP1,-0.59,0.1,0.68
CSRP2,-1.98,-0.14,-0.27
CSRP3,NA,NA,NA
CST1,NA,NA,NA
CST3,1.55,1.68,1.77
CST4,NA,NA,NA
CST5,1.17,-0.59,-0.33
CST6,0.4,0.39,0.45
CSTA,-0.98,-0.64,-0.37
CSTB,-0.52,-0.52,-0.52
CSTF1,0.1,-0.16,-0.36
CSTF2,-1.06,-0.39,-0.73
CSTF2T,-0.77,-0.16,-0.54
CSTF3,-0.03,-0.11,-0.58
CT45A10,0.4,0.15,0.11
CTBP1,0.54,0.14,-0.12
CTBP2,-0.06,-0.15,-0.59
CTBS,1.35,0.15,0.08
CTC1,1.69,0.8,0.9
CTCF,-1.39,-0.57,-0.67
CTDP1,-0.79,-0.29,-0.31
CTDSP1,NA,NA,NA
CTDSPL,NA,NA,NA
CTDSPL2,-0.63,0.27,0.14
CTF1,NA,NA,NA
CTGF,-0.68,-0.14,-0.01
CTH,0.35,0.61,0.53
CTHRC1,-0.88,-0.56,-0.47
CTIF,0.14,0.38,0.94
CTNNA1,0.11,-0.31,-0.4
CTNNA2,NA,NA,NA
CTNNAL1,2.35,0.88,1.34
CTNNB1,-0.34,-0.03,-0.26
CTNNBIP1,-0.11,-0.17,0.01
CTNNBL1,-0.29,0.18,-0.48
CTNND1,-0.23,-0.19,-0.4
CTNND2,0.83,0.72,1
CTPS1,-0.18,-0.36,-0.1
CTPS2,0.59,0.27,0.05
CTR9,-0.34,-0.2,-0.26
CTSA,0.63,0.04,-0.02
CTSB,-0.28,-0.11,-0.46
CTSC,1.1,0.31,0.46
CTSD,1.5,-0.23,-0.11
CTSF,2.07,0.88,1.17
CTSG,0.11,0.49,1.54
CTSH,0.77,0.47,0.53
CTSK,0.14,0.57,0.46
CTSL,0.96,0.38,0.46
CTSO,2.24,1.09,1.45
CTSS,-0.02,1.04,0.44
CTSV,0.43,-0.35,-0.83
CTSW,NA,NA,NA
CTSZ,-0.02,-0.23,-0.44
CTTN,-1.63,-0.39,-1.05
CTTNBP2,0.22,1.3,0.87
CTTNBP2NL,-0.38,-0.03,-0.16
CTU1,-0.38,0.28,0.29
CTU2,0.36,0.86,0.05
CUEDC1,-0.78,0.4,0.54
CUEDC2,-2.11,-0.44,-0.77
CUL1,-0.14,-0.14,0.22
CUL2,-0.18,-0.16,-0.08
CUL3,0.35,0.06,0.2
CUL4A,0.03,-0.33,-0.08
CUL4B,-0.43,-0.38,-0.72
CUL5,0.73,0.28,0.5
CUL7,0.04,0.17,-0.05
CUL9,-0.6,-0.06,-0.1
CUTA,1.99,0.19,0.44
CUTC,1.58,0.61,0.96
CUX1,-1.96,-0.6,-0.64
CWC15,-1.04,-0.24,-0.95
CWC22,-1.09,-0.74,-0.62
CWC25,-1.84,-0.55,0.25
CWC27,0.06,0.27,0.17
CWF19L1,0.66,0.17,0.03
CWF19L2,-0.42,0.07,-0.06
CX3CL1,NA,NA,NA
CXADR,-0.39,-0.53,-0.25
CXCL1,NA,NA,NA
CXCL10,-0.83,-1.05,-0.81
CXCL12,0.55,1.95,1.74
CXCL13,NA,NA,NA
CXCL14,-0.56,-0.16,-0.37
CXCL16,-1.6,0.18,0.26
CXCL17,NA,NA,NA
CXCL5,NA,NA,NA
CXCL9,-0.85,-0.77,-0.54
CXCR4,NA,NA,NA
CXXC1,0.05,0.09,0.15
CXXC5,0.08,0.63,-0.22
CXorf38,0.18,-0.04,-0.44
CXorf40A,1.97,0.57,1.05
CXorf49,-1.9,-1.06,-0.65
CXorf56,-0.7,-0.49,-0.76
CYB5A,-0.09,-0.26,0.11
CYB5B,-0.85,-0.32,-0.48
CYB5R1,1.7,0.03,0.09
CYB5R2,1.05,0.57,0.36
CYB5R3,0.81,0.09,0.69
CYB5R4,0.84,-0.16,-0.06
CYBA,-1.28,-0.15,0.36
CYBB,-0.36,-0.87,-0.66
CYBRD1,-3.31,-0.18,0.2
CYC1,-0.72,-0.39,-0.59
CYCS,0.03,-0.26,0.06
CYFIP1,-0.22,-0.62,-0.66
CYFIP2,-0.66,0.01,-0.46
CYGB,0.4,0.97,1.11
CYHR1,0.22,-0.15,-0.15
CYLD,-0.07,0.14,0.1
CYP1B1,-1.81,-0.99,-1
CYP20A1,0.9,0.13,0.01
CYP24A1,-3.52,-1.33,-1.02
CYP27A1,-0.05,0.16,-0.26
CYP2A6,NA,NA,NA
CYP2C8,-0.11,0.23,0.54
CYP2J2,NA,NA,NA
CYP2S1,NA,NA,NA
CYP4B1,-0.59,-0.99,-0.32
CYP4F11,-0.25,-0.77,-0.9
CYP4F22,NA,NA,NA
CYP4F3,NA,NA,NA
CYP4X1,-1.87,-1.16,-1.95
CYP4Z1,-0.57,-0.16,0.23
CYP51A1,-1.04,-0.57,-0.42
CYP7B1,NA,NA,NA
CYR61,-1.07,-0.28,-0.25
CYSTM1,-1.86,-0.2,0.17
CYTH1,-0.15,-0.58,-0.17
CYTH2,0.56,0.12,0.4
CYTH3,-1.08,0.33,0.02
CYTH4,0.95,0.33,0.49
CYTIP,NA,NA,NA
D2HGDH,0.58,0.47,0.65
DAAM1,-0.88,-0.54,-0.44
DAAM2,NA,NA,NA
DAB2,-0.06,0.01,0.19
DAB2IP,0.48,0.36,0.27
DACH1,-2.97,-0.73,-1.71
DACT3,NA,NA,NA
DAD1,NA,NA,NA
DAG1,0.11,0.42,0.95
DAGLB,0.43,-0.15,-0.05
DALRD3,-0.6,-0.25,-0.62
DAP,-1.23,-0.09,-0.51
DAP3,0.33,-0.37,-0.35
DAPK1,-0.62,-0.09,-0.26
DAPK2,1.93,0.8,0.72
DAPK3,0.03,0.46,0.47
DAPP1,1.23,-0.43,-0.95
DARS,0.07,-0.32,-0.38
DARS2,0.71,-0.38,0.04
DAXX,-1.08,-0.39,-0.26
DAZAP1,0.49,0.22,0.11
DAZAP2,1.47,0.71,0.94
DBH,0.82,1.22,2.07
DBI,-0.01,-0.66,-0.42
DBN1,-1.08,-0.81,-0.41
DBNDD1,NA,NA,NA
DBNL,-0.99,-0.19,-0.26
DBR1,-0.71,-0.1,-0.51
DBT,0.6,0.04,0.15
DCAF1,-0.41,-0.23,-0.33
DCAF10,-1.22,0.56,-0.15
DCAF11,0.36,0.09,0.22
DCAF12,NA,NA,NA
DCAF13,-0.87,-0.34,-0.47
DCAF15,-0.69,0.27,-0.32
DCAF16,0.76,0.27,0.6
DCAF4,NA,NA,NA
DCAF5,-1.27,-0.37,-0.6
DCAF6,0.98,0.33,0.77
DCAF7,0.17,0.01,-0.37
DCAF8,-1.9,-0.46,-0.75
DCAKD,0.58,0.04,0.06
DCBLD1,NA,NA,NA
DCBLD2,1.98,0.93,1.1
DCD,-1.54,0.19,0.97
DCDC2,NA,NA,NA
DCHS1,NA,NA,NA
DCK,-0.61,-0.21,-0.58
DCLK1,1.36,0.57,0.79
DCLK2,NA,NA,NA
DCLRE1C,-2.43,-0.88,-1.11
DCN,0.52,1.87,2.23
DCP1A,1.28,0.42,0.63
DCP1B,0.07,0.44,0.34
DCP2,0.15,-0.36,0.16
DCPS,1.01,0.08,0.06
DCTD,0.87,0.64,0.7
DCTN1,0.72,0.11,0.31
DCTN2,0.14,0.15,0.4
DCTN3,-0.16,0.63,0.77
DCTN4,0.88,0.39,0.62
DCTN5,-1.24,0.15,0.02
DCTN6,-2.02,-0.1,-0.02
DCTPP1,-0.34,-0.33,-0.81
DCUN1D1,0.06,-0.17,0.37
DCUN1D2,1.85,1.19,1.45
DCUN1D3,1.83,2.42,4.08
DCUN1D4,0.01,0.02,0.1
DCUN1D5,-0.31,-0.03,-1.01
DCX,NA,NA,NA
DCXR,0.1,-0.2,-0.06
DDA1,-0.82,0,-0.11
DDAH1,0.7,-0.01,-0.22
DDAH2,0.43,0.69,0.88
DDB1,0.2,-0.08,-0.18
DDB2,1.13,0.63,0.53
DDHD1,0.54,0.81,0.72
DDHD2,0.45,0.32,0.43
DDI2,1.73,0.7,1.8
DDO,1.61,0.61,1.16
DDOST,0.21,-0.57,-0.57
DDR1,-0.59,0.33,0.08
DDR2,1.18,1.19,2.12
DDRGK1,-1.08,-0.81,-0.36
DDT,0.89,-0.76,-0.29
DDX1,0.51,-0.06,-0.11
DDX10,-0.45,-0.31,-0.17
DDX11,-2.51,-1.51,-1.48
DDX17,-0.52,-0.31,-0.65
DDX18,-0.46,-0.23,-0.26
DDX19A,-0.18,-0.23,-0.17
DDX19B,-0.01,0.14,0.37
DDX20,0.06,-0.03,-0.22
DDX21,-1.07,-0.88,-0.81
DDX23,-0.56,-0.11,-0.46
DDX24,-0.53,-0.31,-0.35
DDX27,-0.84,-0.58,-0.64
DDX28,-0.39,-0.4,0.1
DDX31,-1,-0.29,-0.54
DDX39A,-0.13,-0.67,-0.7
DDX39B,-0.38,-0.33,-0.58
DDX3X,-0.32,-0.33,-0.38
DDX41,0.7,0.05,-0.05
DDX42,-0.28,-0.42,-0.57
DDX46,-0.04,-0.28,-0.5
DDX47,-0.04,-0.28,-0.25
DDX49,-1.7,-0.76,-1.01
DDX5,0.02,-0.49,-0.51
DDX50,-0.53,-0.09,-0.2
DDX51,0.52,0.32,0
DDX52,-1.03,-0.19,0
DDX54,-1.87,-0.19,-0.4
DDX55,2.5,1.25,1.98
DDX56,-0.9,-0.37,-0.26
DDX58,-0.49,-0.56,-0.83
DDX59,0.44,0.02,-0.39
DDX6,0.62,-0.22,-0.06
DDX60,0.57,0.12,0.07
DDX60L,0.72,0.31,0.14
DEAF1,1.26,0.6,0.39
DECR1,0.68,0.02,0.55
DECR2,0.09,0.17,-0.03
DEDD,NA,NA,NA
DEF6,-0.88,-0.17,-0.5
DEF8,2.08,0.96,1
DEFA3,-1.24,-0.67,0.45
DEFA4,0.82,0.54,0.83
DEFB1,NA,NA,NA
DEGS1,1.51,0.52,1.29
DEGS2,NA,NA,NA
DEK,-1.13,-0.49,-0.62
DENND1A,-0.18,0.17,0.32
DENND1B,-0.17,0.04,-0.03
DENND1C,-2.04,0.36,-0.77
DENND2D,0.28,0.24,0.03
DENND3,-0.04,0.2,0.32
DENND4A,0.64,0.36,0.38
DENND4B,0.66,0.34,0.25
DENND4C,0.67,0.29,0.23
DENND5A,1.12,0.02,0.39
DENND5B,NA,NA,NA
DENND6A,1.15,0.22,0.25
DENR,0.58,-0.14,-0.03
DEPDC5,0.71,0.59,0.62
DEPTOR,-0.09,-0.12,-0.27
DERA,1.67,0.57,1.02
DERL1,-1.74,-1.92,-1.51
DERL3,NA,NA,NA
DES,0.57,1.34,3.09
DESI1,-0.16,-0.19,-0.07
DESI2,0.53,0.14,0.44
DET1,1.38,2.23,1.21
DEUP1,NA,NA,NA
DFFA,0.65,0.31,0.06
DFFB,-3.74,-1.71,-1.7
DFNA5,-0.13,0.28,0.43
DGAT1,-1.15,-0.89,-0.61
DGCR6,1.9,2.11,0.89
DGCR8,-1.33,-0.14,-0.11
DGKA,-0.48,0.12,-0.04
DGKD,NA,NA,NA
DGKE,1.23,-0.13,0.09
DGKG,NA,NA,NA
DGKH,2.1,1.07,2.03
DGKQ,-2.23,-0.75,-0.58
DGKZ,0.09,0.28,0.21
DGUOK,1.12,0.14,0.39
DHCR24,-0.59,-1.29,-1.11
DHCR7,-2.39,-1.62,-1.68
DHDDS,1.26,-0.06,-0.1
DHFR,-1.39,-0.59,-0.64
DHODH,1.64,0.78,1.07
DHPS,0.25,-0.04,-0.25
DHRS1,0.16,-0.07,0.24
DHRS11,1.84,0.44,1.45
DHRS13,1.48,0.21,0.62
DHRS2,-0.15,-0.91,-0.56
DHRS3,-0.05,-0.04,0.16
DHRS4,-0.21,0.26,0.25
DHRS7,-0.3,-0.8,-0.62
DHRS7B,0.22,0.19,0.13
DHRSX,-1.24,-0.25,-0.3
DHTKD1,-0.1,-0.5,-0.06
DHX15,0.52,0.21,-0.24
DHX16,0.34,0.02,0.12
DHX29,0.16,-0.26,-0.24
DHX30,0.28,0.15,-0.11
DHX32,0.69,-0.03,0.1
DHX33,-0.56,-0.05,-0.18
DHX34,-0.01,0.19,0.12
DHX35,-0.45,-0.04,-0.18
DHX36,0.09,-0.25,-0.2
DHX37,-0.82,0,-0.14
DHX38,-0.76,0.02,-0.12
DHX40,1.15,-0.05,-0.2
DHX57,0.65,0.31,0.62
DHX58,0.96,0.56,0.46
DHX8,-0.78,-0.16,-0.26
DHX9,-0.24,-0.46,-0.6
DIABLO,-0.58,-0.2,-0.6
DIAPH1,0.08,-0.29,-0.12
DIAPH2,0.67,0.41,0.85
DIAPH3,-1.42,-0.52,-0.84
DICER1,-0.26,0.16,0.09
DIDO1,-0.57,-0.13,-0.45
DIEXF,-0.94,-0.42,-0.4
DIMT1,1.1,0.18,0.14
DIP2A,-0.07,0.28,0.15
DIP2B,-0.12,0.15,0.17
DIP2C,-1.55,-0.06,-0.02
DIS3,0.23,-0.06,-0.1
DIS3L,1.5,0.49,0.43
DIS3L2,0.17,0.08,0.11
DISC1,NA,NA,NA
DIXDC1,2.13,0.85,0.96
DKC1,-0.93,-0.4,-0.59
DKK1,NA,NA,NA
DKK3,NA,NA,NA
DLAT,1.69,0.06,0.71
DLC1,NA,NA,NA
DLD,0.11,-0.1,0.24
DLG1,-0.16,-0.18,-0.19
DLG2,NA,NA,NA
DLG3,0.72,0.14,-0.11
DLG5,-0.97,-0.37,-0.49
DLGAP1,NA,NA,NA
DLGAP4,-0.37,-0.35,-0.26
DLGAP5,NA,NA,NA
DLST,0.71,0.1,0.22
DMAC1,NA,NA,NA
DMAC2,0.69,-0.05,-0.39
DMAP1,-0.42,0.2,-0.15
DMBT1,1.69,0.65,0.69
DMD,1.17,1.14,1.78
DMGDH,2.17,1.12,2.27
DMKN,0.18,0.75,0.83
DMTF1,NA,NA,NA
DMTN,1.8,1.62,2.86
DMWD,NA,NA,NA
DMXL1,-0.38,-0.03,-0.04
DMXL2,-0.56,-0.18,-0.11
DNAAF2,-0.8,-0.41,-0.69
DNAAF3,1.88,0.8,1.3
DNAAF5,-0.24,-0.32,-0.38
DNAH3,NA,NA,NA
DNAH7,-2.28,-1.05,-0.56
DNAJA1,-0.44,-0.58,-0.64
DNAJA2,-0.23,-0.39,-0.18
DNAJA3,1.1,-0.11,0.02
DNAJA4,-0.49,0,0.07
DNAJB1,-0.48,-0.29,-0.22
DNAJB11,-0.49,-0.58,-0.35
DNAJB12,-1.41,-0.29,-0.33
DNAJB14,0.08,0.15,0.14
DNAJB2,-0.12,-0.38,-0.01
DNAJB4,1.11,0.69,1.15
DNAJB5,2.11,1.06,1.54
DNAJB6,-1.23,-0.91,-0.91
DNAJB9,-0.29,-0.31,-0.04
DNAJC1,-1.43,-1.17,-1.28
DNAJC10,-0.26,-0.63,-0.78
DNAJC11,-0.25,-0.5,-0.15
DNAJC12,-1.34,-0.6,-1.19
DNAJC13,0.32,-0.18,-0.01
DNAJC14,NA,NA,NA
DNAJC15,NA,NA,NA
DNAJC16,-3.07,-0.86,-1.06
DNAJC17,0.4,0.33,0.5
DNAJC19,-1.7,-0.79,-0.79
DNAJC2,-0.69,-0.22,-0.4
DNAJC21,-1.63,-0.55,-0.72
DNAJC24,NA,NA,NA
DNAJC25,0.98,0.2,0.18
DNAJC3,-0.1,-0.51,-0.24
DNAJC30,1.19,-0.15,0.57
DNAJC5,-0.64,0.19,0.61
DNAJC6,-2.21,-0.43,-0.15
DNAJC7,-0.54,-0.45,-0.48
DNAJC8,-1.52,-0.35,-0.61
DNAJC9,-0.26,0.2,0.04
DNAL1,1.55,0.7,0.65
DNAL4,NA,NA,NA
DNALI1,-1.4,0.39,-0.4
DNASE1L1,NA,NA,NA
DNASE2,-1,-0.58,-0.74
DNHD1,NA,NA,NA
DNLZ,-0.42,-0.4,-0.25
DNM1,1.27,0.78,1.14
DNM1L,0.07,-0.09,-0.02
DNM2,0.68,0.06,0.13
DNM3,-0.46,0.25,0.02
DNMBP,0.51,0.36,0.3
DNMT1,-0.62,-0.42,-0.3
DNMT3A,-0.36,-0.34,-0.3
DNMT3B,NA,NA,NA
DNPEP,0.28,-0.05,0.04
DNPH1,0.1,-0.28,-0.01
DNTTIP1,-0.3,0.3,-0.15
DNTTIP2,-1.72,-0.44,-0.65
DOCK1,-0.1,0.62,0.52
DOCK10,-0.6,-0.23,-0.41
DOCK11,0.62,0.13,0.48
DOCK2,-0.53,-0.17,-0.33
DOCK4,-0.74,-0.31,-0.29
DOCK5,-0.61,-0.04,-0.27
DOCK6,-0.66,0.08,0.07
DOCK7,-0.7,-0.24,-0.35
DOCK8,-0.31,-0.12,-0.12
DOCK9,0.6,0.48,0.5
DOHH,1.13,0.08,0.21
DOK1,0.16,0.87,0.04
DOK2,0.53,0.45,0.58
DOK3,-0.19,-0.17,-0.04
DOK7,-0.48,0.45,-0.33
DOPEY1,NA,NA,NA
DOPEY2,-0.27,-0.37,-0.49
DPAGT1,-2.39,-1.24,-1.1
DPCD,-0.7,-0.11,0.17
DPF2,-0.14,-0.32,-0.34
DPH1,-0.6,-0.38,-0.31
DPH2,-0.27,-0.49,-0.37
DPH3,NA,NA,NA
DPH5,1.44,-0.13,-0.13
DPH6,1.27,0.84,1.61
DPH7,NA,NA,NA
DPM1,0.98,-0.4,-0.12
DPM3,-2.81,-1.99,-2.27
DPP3,0.48,-0.78,-0.35
DPP4,0.55,0.69,1.32
DPP7,0.64,-0.54,-0.33
DPP8,-0.67,0.28,0.28
DPP9,0.1,0.34,-0.15
DPT,0.53,1.22,1.05
DPY19L1,0.14,0.19,0.18
DPY19L3,NA,NA,NA
DPY19L4,NA,NA,NA
DPY30,-0.84,0.2,-0.61
DPYD,0.13,0.48,0.6
DPYSL2,1.01,0.72,0.96
DPYSL3,0.03,0.16,0.31
DPYSL4,-0.33,0.52,0.78
DPYSL5,NA,NA,NA
DQX1,NA,NA,NA
DR1,-0.39,-0.38,-0.61
DRAM2,NA,NA,NA
DRAP1,-0.63,-0.45,-0.44
DRG1,0.16,-0.45,-0.44
DRG2,0.74,0.04,0.29
DROSHA,-1.31,0.06,-0.15
DSC2,-0.8,0.22,0.33
DSC3,-0.08,0.39,0.49
DSCC1,-0.06,-0.22,0.17
DSCR3,1.38,0.22,0.39
DSG1,NA,NA,NA
DSG2,-0.2,0.09,0.31
DSG3,-0.22,-0.11,0.29
DSN1,-0.19,0.31,0.16
DSP,-1.04,-0.44,-1.21
DST,0.2,0.97,0.75
DSTN,-0.76,-0.21,-0.07
DSTYK,NA,NA,NA
DTD1,-1.63,-0.26,-0.83
DTD2,2.92,0.31,0.68
DTL,NA,NA,NA
DTNA,1.26,0.67,0.98
DTNB,1.31,0.35,0.07
DTNBP1,-1.62,0.03,-0.16
DTWD1,2.06,0.4,0.59
DTWD2,0.65,0.47,0.39
DTX2,-0.43,0.02,0.05
DTX3,1.05,0.95,1.07
DTX3L,-1.13,-0.72,-0.85
DTYMK,0.66,-0.27,-0.05
DUS1L,0.11,-0.09,-0.09
DUS2,-0.74,-0.04,-0.16
DUS3L,-0.79,-0.45,-0.44
DUS4L,1.89,1.13,1.5
DUSP11,-1.07,0.32,0.07
DUSP12,-0.65,-0.33,-0.26
DUSP14,1.63,0.56,1.31
DUSP16,1.37,0.7,0.6
DUSP19,-0.41,0.26,-0.01
DUSP22,-0.99,0.48,0.46
DUSP23,0.59,0.02,0.04
DUSP27,-2.23,-0.07,-0.07
DUSP3,1.46,0.38,0.68
DUSP4,NA,NA,NA
DUSP6,NA,NA,NA
DUSP7,NA,NA,NA
DUSP9,NA,NA,NA
DUT,-0.21,-0.01,0.08
DVL1,0.71,0.27,0.45
DVL2,-0.88,-0.09,-0.12
DVL3,-0.22,0.13,0.22
DXO,1.74,0.96,1.77
DYM,-0.45,-0.03,-0.35
DYNC1H1,-0.31,-0.47,-0.41
DYNC1I1,NA,NA,NA
DYNC1I2,0.61,-0.12,-0.06
DYNC1LI1,0.41,0.22,-0.24
DYNC1LI2,1.13,0,0.38
DYNC2H1,-0.65,0.53,0.58
DYNC2LI1,1.82,0.46,1.14
DYNLL1,-0.27,-0.2,-0.51
DYNLL2,-0.3,0.12,0.13
DYNLRB1,0.97,0.18,0.27
DYNLT1,-0.44,-0.69,-0.24
DYNLT3,0.76,0.66,0.88
DYRK1A,-0.46,-0.08,-0.47
DYRK1B,1.94,0.83,0.51
DYRK2,-1.55,0.36,0.49
DYSF,0.46,0.53,1.15
DZIP3,0.8,-0.32,0.88
E2F3,NA,NA,NA
E2F4,0.2,-0.18,-0.18
E2F5,-1.12,0.26,0.33
E2F6,NA,NA,NA
E4F1,1.6,0.66,0.64
EAF1,-1.44,-0.06,-0.48
EAPP,0.06,0.02,0.08
EARS2,0.05,0,-0.1
EBAG9,0.23,0.32,-0.15
EBF1,NA,NA,NA
EBF3,NA,NA,NA
EBNA1BP2,-1.31,-0.53,-0.72
ECD,-0.25,-0.33,-0.35
ECE1,0.27,-0.09,-0.07
ECE2,-1.09,-0.84,-1.18
ECH1,0.27,-0.01,0.45
ECHDC1,2.15,0.48,1.45
ECHDC2,1.64,0.71,1.33
ECHDC3,1.17,0.94,0.95
ECHS1,1,0.21,0.77
ECI1,2.12,0.82,1.24
ECI2,1.11,0.31,0.26
ECM1,0.88,0.85,1.01
ECM2,-0.27,-0.1,0.27
ECSCR,NA,NA,NA
ECSIT,0.42,-0.11,-0.14
ECT2,0.42,-0.82,-0.28
EDARADD,NA,NA,NA
EDC3,0.58,0.41,0.16
EDC4,0.26,0.14,0.15
EDEM1,NA,NA,NA
EDEM2,1.72,0.14,0.47
EDEM3,1.14,0.38,0.52
EDF1,-1.64,-0.52,-0.83
EDIL3,NA,NA,NA
EDRF1,-1.54,0.37,0.31
EEA1,-0.36,0.57,0.54
EED,-0.47,-0.41,-0.63
EEF1A1,0.53,-0.62,-0.21
EEF1A2,1.32,-0.31,-0.3
EEF1AKMT1,0.58,0.91,0.29
EEF1AKMT2,1.08,0.38,0.5
EEF1B2,-0.01,-0.51,-0.52
EEF1D,-1.5,-0.82,-0.76
EEF1E1,-0.03,-0.42,-0.69
EEF1G,-0.93,-0.88,-0.97
EEF2,-0.59,-0.63,-0.56
EEF2K,-0.88,0.24,0.17
EEF2KMT,NA,NA,NA
EEFSEC,0.42,0.17,0.2
EEPD1,1.42,0.83,2.19
EFCAB14,1.39,0.15,0.43
EFCAB7,NA,NA,NA
EFEMP1,-0.31,0.38,0.5
EFEMP2,-1.04,0.08,-0.07
EFHD1,-0.03,0.23,-0.73
EFHD2,-0.38,0.26,-0.12
EFL1,-0.57,-0.07,-0.22
EFNA1,0.33,0.3,0.02
EFNA4,NA,NA,NA
EFNA5,0.3,0.89,1.16
EFNB1,1.82,1,2.67
EFNB2,0.91,0.3,1.16
EFR3A,-0.45,-0.36,0.01
EFS,-1.36,-0.39,-0.46
EFTUD2,-0.32,-0.35,-0.44
EGF,0.51,2.22,0.76
EGFLAM,2.68,1.04,1.8
EGFR,-0.48,0.14,0.48
EGLN1,-0.96,-0.11,-0.04
EGR2,-0.61,-0.19,-0.64
EHBP1,0.27,0.63,0.89
EHBP1L1,0.06,0.27,0.57
EHD1,0.91,0.2,0.88
EHD2,2.64,1.98,2.74
EHD3,1.18,0.89,1.01
EHD4,0.95,0.44,0.53
EHF,1.18,0.39,0.71
EHHADH,0.41,0.27,0.88
EHMT1,-0.86,-0.04,-0.57
EHMT2,-0.7,-0.02,-0.33
EI24,0,-0.66,-0.27
EIF1,3.2,1.66,1.67
EIF1AD,-0.99,-0.97,-0.88
EIF1AX,0.75,0.13,0.2
EIF1B,2.64,1.43,1.48
EIF2A,0.13,-0.24,-0.08
EIF2AK1,NA,NA,NA
EIF2AK2,-0.51,-0.38,-0.67
EIF2AK3,-1.29,-0.22,-0.03
EIF2AK4,-0.32,0.08,0.08
EIF2B1,0.04,0.02,-0.04
EIF2B2,0.44,-0.26,-0.32
EIF2B3,-0.05,0.01,0.12
EIF2B4,0.5,0.26,0.24
EIF2B5,0.41,0,-0.29
EIF2D,0.08,-0.31,-0.07
EIF2S1,-0.6,-0.74,-0.57
EIF2S2,-0.55,-0.8,-0.83
EIF2S3,-0.78,-0.42,-0.36
EIF3A,-0.87,-0.39,-0.51
EIF3B,-0.57,-0.25,-0.51
EIF3C,-1.17,-0.6,-0.64
EIF3D,-0.54,-0.51,-0.57
EIF3E,-0.12,-0.44,-0.52
EIF3F,0.92,-0.1,-0.07
EIF3G,-0.97,-0.37,-0.45
EIF3H,0.16,0.18,0.33
EIF3I,-0.4,-0.24,-0.16
EIF3J,-0.76,-0.48,-0.41
EIF3K,-0.06,-0.59,-0.42
EIF3L,-0.38,-0.42,-0.57
EIF3M,0.82,-0.32,-0.23
EIF4A1,0.06,-0.13,-0.12
EIF4A2,0.59,0.01,0.14
EIF4A3,-0.11,-0.35,-0.53
EIF4B,-1.78,-0.21,-0.96
EIF4E,-0.27,-0.53,-0.32
EIF4E2,-0.14,-0.12,-0.14
EIF4E3,-1.27,0.75,0.72
EIF4EBP1,1.37,0.14,0.96
EIF4EBP2,-0.61,-0.37,-0.42
EIF4EBP3,NA,NA,NA
EIF4ENIF1,-0.38,0.17,-0.25
EIF4G1,-1.2,-0.89,-1.02
EIF4G2,0.04,-0.34,-0.41
EIF4G3,-0.69,-0.2,-0.48
EIF4H,-0.69,-0.52,-0.33
EIF5,-0.74,-0.37,-0.37
EIF5A,1.41,0.01,0.36
EIF5A2,1.8,0.75,1.5
EIF5B,-1.02,-0.78,-0.92
EIF6,0.08,-0.24,-0.11
EIPR1,-0.13,-0.12,-0.42
ELAC1,NA,NA,NA
ELAC2,0.99,0.45,0.39
ELANE,0.34,-0.19,0.44
ELAVL1,0.07,-0.18,-0.38
ELAVL2,NA,NA,NA
ELF1,-0.58,0.48,-0.25
ELF2,0.14,0.57,0.42
ELF3,0.72,0.76,0.56
ELK1,NA,NA,NA
ELK3,1.29,1.26,0.49
ELL,-1.36,-0.74,-0.99
ELL2,NA,NA,NA
ELMO1,-0.17,-0.08,0.1
ELMO2,0.18,-0.01,0.25
ELMO3,0.27,0.08,0
ELMOD2,-1.99,-0.97,-1.35
ELMSAN1,-0.09,0.25,-0.03
ELN,0.23,1.56,1.47
ELOA,-1.83,-0.35,-0.87
ELOB,-0.85,-0.37,-0.43
ELOC,-0.51,-0.22,-0.25
ELOF1,-0.42,-0.13,-0.44
ELOVL5,-0.37,-0.42,-0.36
ELP1,0.19,0.15,-0.08
ELP2,0.28,0.04,-0.02
ELP3,-0.07,0.01,0.13
ELP4,0.26,0.08,0.09
ELP5,-1.54,-0.71,-0.84
ELP6,0.25,-0.42,-0.66
EMB,NA,NA,NA
EMC1,0.78,-0.11,0.19
EMC10,1.58,0.22,0.56
EMC2,-0.23,-0.34,-0.16
EMC3,0.99,0.03,0.28
EMC4,-1.51,-1.71,-1.51
EMC7,0.55,-0.26,-0.05
EMC8,-0.32,-0.66,-0.49
EMC9,0.55,-0.5,-0.14
EMD,-0.65,-0.21,-0.37
EMG1,1.09,0.09,0.11
EMILIN1,-1.03,-0.08,-0.2
EMILIN2,-0.46,0.54,0.43
EML1,-0.03,0.46,0.78
EML2,1,0.02,0.05
EML3,0.03,0.23,0.43
EML4,-1.21,-0.67,-0.6
EMSY,0.66,-0.02,-0.18
EN1,NA,NA,NA
ENAH,-1.3,-0.69,-0.66
ENC1,NA,NA,NA
ENDOD1,1.79,0.86,1.2
ENDOG,1.23,0.32,0.73
ENDOU,NA,NA,NA
ENDOV,NA,NA,NA
ENG,-0.82,0.38,0.42
ENGASE,-0.05,-0.38,-0.12
ENO1,0.76,0.3,0.6
ENO2,2.86,0.64,0.93
ENO3,-0.32,0.06,0.65
