,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
CBX5,-0.26,-0.22,-0.24,-0.18,0.31,-0.3,0,-0.52,-0.13,-0.09,0.27,0.41,-0.3,-0.13,0.54,-0.11,-0.42,-0.19,0.47
CBX8,-0.19,0.14,-0.31,-0.39,0.16,-0.44,-0.16,-0.2,-0.04,-0.02,-0.08,-0.18,-0.17,0.05,0.27,-0.35,-0.46,-0.24,0.19
CC2D1A,-0.1,-0.16,-0.25,-0.15,0.12,-0.17,-0.14,-0.25,0.03,-0.14,0,0.07,-0.26,-0.18,0.23,-0.25,-0.04,-0.15,-0.01
CC2D1B,0.13,0.3,-0.1,0.07,-0.02,0.01,0.02,0.15,-0.04,-0.08,-0.02,0.05,-0.06,0.13,0.16,0,-0.15,0.07,-0.1
CCAR1,0.03,0.01,-0.04,0.19,0.36,-0.02,0.03,0.07,0.04,0.06,0.11,0.44,-0.09,-0.01,0.18,0.18,-0.03,0.05,0.3
CCAR2,-0.04,0.05,0.01,0.2,0.31,0.04,0.13,0,0.03,0.08,0.1,0.35,-0.07,0,0.13,0.08,0.05,0.12,0.43
CCDC102A,-0.05,0.48,0.21,0.45,0.65,0.23,0.5,-0.34,0.21,0.22,0.91,1.16,0.08,0.81,0.65,-0.12,0.33,0.27,1.55
CCDC115,-0.26,0.27,-0.19,-0.23,-0.29,0.26,0.14,-0.17,-0.21,-0.38,-0.16,0.32,-0.43,0.24,0.16,-0.21,0,0.2,0.19
CCDC12,0.13,0.5,-0.12,0.58,0.24,-0.13,-0.01,0.6,-0.23,0.74,0.32,0.14,-0.2,0.57,0.12,0.68,-0.16,-0.08,1.04
CCDC124,-0.09,0.18,0.06,-0.06,0.13,0.23,0.17,-0.07,-0.01,-0.31,0.09,0.14,0.01,0.1,-0.01,0.02,0.01,0.11,0.01
CCDC127,0.21,-0.01,0.34,0.05,-0.17,0.02,0.22,0.05,0.02,0.1,0.1,-0.2,0.3,-0.55,0.15,0.38,-0.15,-0.14,-0.19
CCDC134,-0.03,0.4,-0.34,-0.44,0.22,-0.31,-0.27,0.12,-0.1,-0.33,-0.08,0.09,0.38,0.38,0.15,0.25,0.04,-0.38,0.7
CCDC168,-0.43,-0.86,0.71,-0.82,-0.46,NA,NA,-1.01,0.35,-0.33,0.33,-0.28,0.25,-0.65,-0.77,-1.01,0.15,NA,-0.16
CCDC174,1.38,0.64,0,-0.07,0.3,0.15,0.32,0.05,0.07,0.61,0.07,-0.11,0.02,0.24,0.01,0.1,-0.14,0.5,-0.46
CCDC18,-0.25,1.16,0.02,0.22,0.17,-0.53,-0.18,0.81,0.05,0.41,-0.13,0.36,0.15,1.63,0.52,0.4,-0.2,-0.49,1.7
CCDC186,0.38,0.48,0.27,-0.01,0.36,0.27,0.57,0.16,0.45,0.34,0.44,-0.1,0.16,0.97,0.3,0.27,0.66,0.3,0.52
CCDC22,0.29,0.22,0.09,0.07,-0.07,0.19,0.17,0.22,0.2,0.1,-0.09,-0.11,0.19,0.16,-0.05,0.28,0.23,0.13,-0.23
CCDC25,0.3,-0.21,0.1,0.07,0.06,0.35,0.06,0.01,0.19,0.06,0.05,-0.11,-0.01,-0.11,0.1,0.07,0.19,0.12,0.14
CCDC28A,0.13,0.26,0.29,-0.07,-0.24,-0.02,0.12,0.15,0.17,0.07,-0.03,-0.26,0.19,-0.05,0.05,0.21,0.14,0.18,-0.16
CCDC32,NA,-0.34,-0.1,-0.46,-0.05,NA,NA,-0.41,NA,NA,-0.17,-0.66,-0.06,-0.44,-0.09,-0.49,0.32,NA,-0.27
CCDC43,-0.1,0,-0.13,-0.17,-0.31,-0.18,-0.37,0.12,0.07,-0.15,0.09,-0.4,-0.03,-0.17,-0.13,0.04,0.01,-0.11,-0.19
CCDC47,0.12,0.05,0.22,0.22,0.29,0.05,0.03,0.15,0.08,0.05,-0.17,-0.06,0.05,0.06,0.1,0.09,0.28,-0.02,0.08
CCDC50,-0.65,-0.08,-0.31,-0.15,-0.28,-0.09,-0.15,-0.33,-0.31,-0.32,-0.18,0.22,-0.54,-0.06,-0.1,-0.17,-0.41,-0.13,0.4
CCDC51,1,0.84,0.67,0.47,-0.12,1.06,0.63,1.14,0.56,0.47,0.19,-0.27,1.01,0.75,0.29,0.85,1.11,1.09,-0.36
CCDC6,0.03,-0.09,-0.13,0,-0.03,-0.08,-0.22,-0.06,-0.2,-0.17,-0.04,0.11,-0.06,-0.12,-0.13,0.08,-0.11,-0.09,-0.2
CCDC61,0.33,NA,-0.18,0.21,-0.09,0.2,0.06,0.08,0.22,0.43,-0.73,0.07,-0.84,NA,0.1,0.52,0.19,-0.03,NA
CCDC8,-0.25,0.26,0.29,-0.19,0,-0.16,0.18,-0.54,0.12,-0.12,0.34,0.09,-0.01,0.81,0.3,-0.19,-0.55,-0.02,0.53
CCDC80,NA,NA,NA,NA,0.38,0.04,-0.15,NA,NA,NA,NA,1.07,NA,NA,0.27,NA,-0.39,0.08,NA
CCDC82,0.66,1.15,0.46,-0.78,9,0.26,0.1,-0.15,1,0.85,0.54,1.04,1.01,1.96,1.32,-1.05,6.9,0.74,2.32
CCDC85C,-0.08,-0.12,0.11,-0.16,-0.03,0.16,0.38,0.02,0.42,0.06,0.04,0.07,0.13,-0.01,0,-0.07,0.46,0.35,-0.17
CCDC86,-0.29,-0.2,-0.35,-0.56,0.49,-0.13,-0.46,-0.57,0.1,-0.23,-0.32,-0.2,-0.42,0.14,-0.46,-0.55,-0.11,-0.02,0.47
CCDC88A,-0.19,-0.64,-0.49,-0.17,-0.25,-0.56,-0.36,-0.22,-0.11,0.02,-0.27,0.34,-0.44,-0.2,0.06,-0.46,-0.33,-0.49,0.15
CCDC88B,-0.18,-0.24,0.42,0.08,0.27,NA,NA,-1.03,0.45,0.36,0.87,0.03,-0.01,0.74,-0.17,-0.29,-0.4,NA,0.36
CCDC88C,0.6,0.61,-1.01,0.58,NA,0.24,0.25,0.46,0.53,0.62,-1.09,-0.88,0.48,0.47,-0.54,0.44,NA,0.53,0.51
CCDC9,-0.25,-0.15,0.09,-0.06,0.07,-0.22,-0.09,-0.23,-0.12,-0.05,0.1,0.38,-0.17,-0.15,-0.06,-0.25,-0.18,0.05,0.2
CCDC90B,0.69,0.68,0.56,0.25,0.29,0.6,0.25,0.59,0.57,0.22,0.21,-0.42,1.02,0.46,0.3,0.42,0.47,0.62,-0.64
CCDC91,-0.15,-0.55,-0.25,-0.05,-0.19,-0.31,-0.1,-0.39,-0.33,-0.55,0.19,-0.18,-0.39,-0.52,0.09,-0.56,-0.67,-0.29,0.2
CCDC92,1.05,1.53,-0.22,0.46,0.53,0.29,-0.01,0.38,0.85,0.11,-0.09,0.09,-0.1,1.12,0.43,0.47,0.73,0.25,1.11
CCDC93,0.4,0.4,0.27,0.25,-0.01,0.26,0.31,0.38,0.22,0.09,0.15,-0.01,0.33,0.25,0.02,0.4,0.34,0.32,-0.28
CCDC97,0.08,NA,-0.12,-0.07,-0.14,-0.05,-0.67,-0.39,-0.47,0.48,0.02,-0.22,0.05,NA,-0.36,-0.34,NA,-0.71,NA
CCDC9B,-0.06,-0.62,0.22,1.29,0.34,-0.36,-0.43,0.7,0.09,-0.27,0.42,0.6,0.22,-0.94,0.76,0.65,-0.6,-0.38,0.93
CCL14,0.38,1.93,1.86,-0.25,-1.29,-0.25,0.77,1.09,2.21,0.82,0.44,-0.82,-0.06,1.34,-0.12,0.31,1.29,-0.48,-0.18
CCL18,NA,NA,NA,-0.11,0.01,-0.34,-0.94,-1.24,NA,NA,NA,NA,NA,NA,NA,-0.2,0.42,-0.88,NA
CCL21,0.15,-0.76,NA,NA,0.03,-0.1,-0.4,NA,0.24,0.54,NA,2.35,NA,1.23,-0.93,NA,-0.42,-0.23,2.43
CCM2,-0.17,0,0.12,0.04,-0.18,-0.28,-0.25,0.06,-0.26,-0.29,-0.08,-0.35,-0.07,-0.14,-0.27,-0.04,-0.12,0.01,0.04
CCN1,-0.42,-0.88,NA,0.9,1.24,-0.77,-1.13,0.41,0.24,-0.01,NA,0.03,NA,-0.93,0.75,1.01,1.41,0.07,-0.22
CCN2,0.73,1.04,1.83,2.67,0.71,0,0.08,1.79,1.09,0.85,0.72,1.6,1.8,0.61,1.7,2.51,1.07,0.6,0.98
CCN5,NA,0.44,1.7,0.09,-0.12,0.56,0.59,0.42,NA,NA,0.96,NA,0.67,0.81,NA,0.3,0.52,1.84,0.13
CCND1,NA,NA,NA,NA,0.7,-2.6,-0.56,NA,NA,NA,NA,-0.2,NA,NA,-0.26,NA,NA,-0.48,NA
CCNH,0.08,0.14,-0.05,0.09,-0.02,-0.79,-0.69,-0.1,0.16,0.3,-0.29,-0.04,-0.22,0.16,-0.12,0,-0.2,-0.84,0.38
CCNK,-0.25,-0.24,-0.12,-0.61,-0.1,-0.62,-0.68,-0.31,0.05,0.2,-0.18,0.13,-0.42,-0.02,-0.05,-0.53,-0.19,-0.48,0.16
CCNT1,-0.86,-0.13,-0.02,-0.12,-0.01,-0.62,-0.43,-0.27,-0.33,-0.75,0.01,-0.08,-0.3,-0.14,0.09,-0.07,-0.05,-0.37,0.24
CCNY,0.05,0.02,0.29,-0.04,-0.34,0.03,-0.07,0.18,-0.2,-0.09,-0.26,-0.62,0.26,0.01,-0.04,0.22,-0.01,0.18,-0.2
CCS,-0.17,-0.16,-0.36,-0.05,-0.41,-0.06,-0.16,-0.04,-0.21,-0.01,-0.1,-0.37,0.05,-0.08,-0.46,0.3,-0.3,-0.04,-0.37
CCSER2,0.49,0.03,0.01,-0.02,1.01,0.33,0.74,-0.27,0.74,0.33,0.11,0.37,0.28,0.14,0.31,-0.38,1.86,0.67,0.44
CCT2,-0.13,-0.17,-0.08,-0.15,-0.34,-0.06,-0.1,-0.11,-0.1,-0.29,-0.12,-0.33,-0.17,-0.27,-0.27,-0.21,-0.22,-0.09,-0.33
CCT3,0.07,0.01,-0.04,-0.12,-0.26,-0.01,-0.08,-0.05,-0.1,-0.2,-0.11,-0.28,-0.03,-0.13,-0.21,-0.1,-0.14,-0.02,-0.29
CCT4,0,0.09,0.08,-0.01,-0.2,0.07,-0.05,-0.01,-0.04,0.06,-0.17,-0.18,-0.06,-0.06,-0.21,-0.02,0.06,-0.05,-0.14
CCT5,0.05,-0.01,0.05,-0.12,-0.28,-0.1,-0.13,-0.02,-0.11,-0.2,-0.05,-0.27,0,-0.11,-0.26,-0.15,-0.2,-0.07,-0.27
CCT6A,0.01,-0.08,-0.17,-0.14,-0.25,-0.08,-0.12,-0.08,-0.25,-0.34,-0.3,-0.41,-0.11,-0.19,-0.26,-0.21,-0.13,-0.11,-0.38
CCT6B,0.44,-0.12,0.51,-0.07,NA,0.72,0.74,0,0.35,0.47,0.22,0.07,0.71,0.17,-0.04,0.43,NA,0.92,-0.58
CCT7,-0.05,-0.04,-0.12,-0.13,-0.24,-0.07,-0.14,-0.06,-0.14,-0.22,-0.21,-0.31,-0.14,-0.26,-0.19,-0.08,-0.17,-0.19,-0.3
CCT8,0.04,0.04,-0.04,-0.1,-0.18,-0.08,-0.1,-0.12,-0.13,-0.14,-0.21,-0.33,-0.04,-0.12,-0.26,-0.07,-0.13,-0.09,-0.24
CCZ1,-0.14,-0.04,-0.02,-0.05,-0.2,-0.18,-0.06,-0.19,-0.06,-0.07,-0.11,-0.14,-0.09,-0.13,-0.11,-0.16,-0.17,-0.24,-0.07
CD109,-0.28,-0.47,-0.56,-0.05,-0.05,-0.18,-0.51,-0.12,-0.46,0.11,-0.32,0.11,-0.88,0.26,-0.56,-0.45,-0.39,-0.26,-0.05
CD14,-0.76,-0.65,-0.63,-0.39,0.28,-0.41,-0.42,-0.54,-0.17,-0.39,-0.33,-0.06,-0.69,-0.5,0.08,-0.71,-0.1,-0.52,0.19
CD151,-0.32,-0.01,0.29,0.75,0.54,-0.19,0.19,0.11,-0.12,0.27,-0.38,0.74,0.14,0.36,0.11,0.36,-0.02,-0.19,0.53
CD163,-1.04,-1.75,-0.58,0.12,0.25,-1.03,-1.06,-2.06,-0.85,-0.57,-0.56,0.37,-1.45,-0.14,-0.16,-1.18,-0.75,-0.55,0.72
CD177,-0.6,NA,NA,-0.13,-0.77,-0.46,-0.23,-0.34,-0.14,0.19,NA,NA,NA,NA,NA,-0.42,0.07,-0.51,NA
CD180,-0.68,NA,-0.62,-0.33,0.24,NA,NA,-0.4,-0.51,-0.38,-0.76,-0.03,-0.66,NA,-0.85,-0.66,-0.52,NA,NA
CD2,-0.04,-0.28,-0.07,1.73,0.18,NA,NA,0.99,-0.26,-0.51,-0.18,1.25,0.05,0.09,0.62,1.46,-0.2,NA,0.73
CD200,-0.76,-0.03,-0.43,-0.27,-0.4,0.13,-0.16,-0.41,-0.61,-0.4,-1.06,-0.05,-0.2,-0.39,-1.35,-0.19,-0.44,0.12,-0.19
CD209,-2.97,-1.01,0.24,1,0.39,-0.97,-1.36,-1.41,-3.24,-2.56,-0.35,0.46,-0.98,0.06,0.3,-1.39,-0.26,-0.58,0.62
CD248,0.05,0.01,NA,0.69,0.41,-0.27,-0.51,-0.29,0.5,0.22,NA,0.29,NA,0.13,-0.24,-0.23,0.06,-0.2,0.7
CD276,-0.78,-0.5,-0.35,-0.16,0.01,-0.52,-0.71,-0.33,-0.55,-0.68,-0.61,-0.19,-0.65,-0.19,-0.74,-0.62,-0.36,-0.65,0.05
CD2AP,0.07,0.3,0.11,0.14,0.25,0.11,0.12,0.16,0.14,-0.08,0.23,0.15,0.1,0.11,-0.02,0.28,0.02,0.2,0.04
CD2BP2,-0.33,-0.17,-0.3,-0.19,0.28,-0.04,-0.05,-0.39,-0.39,-0.34,0,0.05,-0.2,-0.21,-0.11,-0.38,-0.22,-0.08,-0.21
CD34,0.68,-0.11,0.21,0.56,0.12,-0.4,-0.3,-0.05,-0.1,0.11,-0.23,0.51,0.28,0.24,0.56,-0.13,-0.09,0.24,0.72
CD36,0.08,-2.28,-0.7,1,-1.16,-0.69,-0.66,-0.42,-1.61,-1.3,-0.5,0.62,-1.32,-0.8,0.45,-1.3,-1.85,-1.12,-0.82
CD38,-1.29,NA,-0.25,NA,0.22,-0.41,-0.47,NA,-0.31,-0.58,-0.45,0.66,-0.45,NA,-0.2,NA,1.17,-0.44,NA
CD4,-0.39,-0.21,-0.27,0.46,0.42,-0.23,-0.14,-0.91,-0.06,-0.12,-0.48,1.02,-0.77,0.51,-0.59,-1.27,-0.08,-0.17,1.61
CD40,-1.03,-0.5,-0.65,-0.36,-0.47,-1.23,-1.41,-0.67,-2.38,-0.84,-1.17,-0.29,-0.77,-0.81,-1.11,-0.53,-0.63,-1.55,0.49
CD44,-0.87,-0.86,-0.11,-0.06,0.4,-0.52,-0.93,-1.33,-0.64,-0.59,-0.6,0.77,-0.46,-0.16,-0.51,-0.73,-0.09,-0.79,0.52
CD46,0.87,0.86,1,0.67,-0.17,0.82,0.67,1.01,0.68,0.43,-0.03,0.12,0.55,0.49,0.7,0.89,0.84,0.7,0.04
CD47,0.19,-0.23,-0.09,0.15,0,-0.09,-0.22,-0.02,-0.37,-0.16,-0.53,0.64,0.13,0.03,-0.25,-0.12,0.13,-0.11,0.28
CD55,0.02,0.58,0.43,0.57,0.53,-0.1,-0.07,-0.39,0.59,0.2,0.33,0.94,0.51,0.74,0.11,-0.1,0.53,0.46,1.88
CD58,-1.74,-2.23,0.39,0.26,NA,-1.27,-1.08,0.29,-0.24,-0.93,-0.43,0.34,-0.24,-0.6,-0.08,0.25,NA,-1.71,0.05
CD59,0.41,0.18,0.36,0.34,0.8,0.23,0.24,0.27,0.27,0.51,0.31,0.57,0.39,0.54,0.7,0.39,0.24,0.3,0.64
CD5L,-0.81,0.43,0.81,-1.06,-0.72,0.09,0.15,-0.18,0.69,0.68,0.33,-0.75,-0.51,0.94,0.29,-0.62,0.19,-0.63,-0.27
CD63,-0.24,-0.25,-0.42,0.34,0.18,-0.18,-0.51,-0.23,-0.4,-0.43,0.47,0.33,0.09,-0.07,-0.75,-0.3,-0.07,-0.23,0.23
CD74,-0.55,-1.44,-0.43,-0.35,0.06,-0.87,-0.89,-1.06,-0.97,-0.67,-0.73,-0.2,-0.95,-0.99,-0.8,-0.95,-0.67,-0.73,0.33
CD81,-0.08,0.58,0.23,0.62,-0.25,-0.09,-0.03,-0.52,-0.13,-0.55,-0.32,0.15,0.11,0.25,-0.27,0.18,-0.34,0.03,0.24
CD82,0.3,-0.21,-0.29,0.14,-0.11,0.25,0.19,-0.09,0.52,0.22,0.26,0.57,0.02,-0.61,1.25,0.26,-0.22,0.65,0.51
CD9,-0.03,0.25,0.08,0.05,-0.28,-0.19,0.14,-0.04,0.44,-0.24,0.38,0.16,0.06,0.34,0.54,0.31,-0.18,-0.09,0.36
CD93,0.04,-0.09,0.31,-0.29,0.59,-0.16,-0.4,-0.69,0.2,-0.14,-0.15,-0.05,0.53,-0.05,-0.44,-0.59,0.26,0.08,0.24
CD99,0.16,-0.41,0.2,-0.04,0.3,-0.03,0.11,-0.13,-1.17,0.37,-0.63,0.79,-0.12,-0.01,0.4,-0.42,-0.4,0.29,0.41
CD99L2,0.38,0.57,0.41,0.12,-0.48,0.31,0.41,0.26,0.14,0.36,0.25,0.17,0.54,0.22,-0.03,0.31,0.37,0.54,0.09
CDA,-0.12,0.15,-0.78,-0.1,0.38,0.45,-0.28,-0.53,-0.13,-0.54,-0.25,-0.38,-0.34,-0.1,-0.26,-0.18,0.39,-0.42,-0.69
CDADC1,0.62,-0.39,0.73,0.1,NA,1.03,0.91,0.26,0.57,0.17,0.44,0.26,0.63,-0.45,0.5,0.06,NA,1.54,-0.65
CDAN1,-0.74,NA,1.03,-0.13,-0.87,NA,NA,0.33,0.06,-0.28,0.71,0.47,0.77,NA,-0.18,-0.05,-0.71,NA,NA
CDC123,0.53,-0.27,-0.18,-0.62,0.06,0.07,-0.18,-0.48,-0.24,-0.24,-0.32,0.06,-0.03,0.02,-0.35,-0.15,0,-0.21,0.54
CDC16,-0.08,0.18,-0.01,-0.2,0,0.17,0.1,-0.03,-0.12,0.01,-0.02,-0.15,-0.07,0.08,-0.24,-0.01,0.09,0.08,0.16
CDC23,-0.1,0.01,-0.07,0.08,0.09,0.05,0.04,-0.04,-0.17,0.17,-0.17,0.06,-0.16,-0.03,-0.15,0.06,-0.17,0,0.04
CDC26,-0.02,-0.06,-0.19,0.71,0.17,0.37,0.2,0.53,0.14,-0.06,-0.6,-0.19,-0.22,-0.12,0.28,0.79,0.03,0.32,0.04
CDC27,-0.37,-0.1,-0.04,-0.13,0.14,-0.04,-0.07,-0.16,-0.29,-0.32,0,-0.01,-0.08,-0.02,-0.14,-0.21,-0.09,-0.14,0.25
CDC37,-0.21,-0.11,-0.16,-0.09,-0.01,-0.21,-0.22,-0.31,-0.28,-0.26,0.06,0.16,-0.12,-0.16,-0.03,-0.09,-0.17,-0.17,0.02
CDC37L1,0.29,0.48,0.03,0.21,-0.02,-0.04,-0.03,0.2,0.18,0.2,0.14,-0.1,0.18,0.15,-0.07,0.21,0.31,-0.07,-0.12
CDC40,-0.08,0.03,-0.05,0.04,0.12,-0.02,0.08,0.02,0.03,-0.06,0.1,0.3,-0.08,-0.04,0.17,0.1,-0.07,0.04,0.33
CDC42,0.06,0.19,0.26,0.18,0.11,0.22,-0.01,0.2,-0.22,-0.04,-0.05,-0.01,0.04,0.26,-0.05,0.07,0.07,0.11,0.11
CDC42BPA,0.05,0.13,0.07,0.04,-0.3,0.07,0.07,0.1,-0.03,0.21,0.14,0.08,0.13,0.16,0.18,-0.01,0.11,0.15,0.03
CDC42BPB,-0.02,0.06,0.11,0.04,-0.02,0.02,0.02,0.07,-0.03,0.04,0.08,0.18,0.05,0.08,0.12,0.09,0.02,0.06,0.2
CDC42BPG,-0.17,-0.89,-0.07,-0.25,0.02,-0.34,-0.16,-0.12,0.67,0.34,-0.07,-0.07,0,-0.18,0.32,-0.1,-0.07,-0.37,-0.14
CDC42EP1,-0.24,-0.02,-0.32,0.01,0.13,-0.04,-0.17,-0.09,-0.24,-0.03,0.1,0.23,0.02,0.08,-0.29,-0.12,0.12,-0.06,0.38
CDC42EP2,0.19,0.31,0.27,0.31,0.97,0.91,1.28,0.62,0.42,0.66,0.36,0.84,0.17,0.55,0.83,0.34,-1.29,1,1
CDC42EP4,-0.34,-0.01,-0.34,-0.16,-0.15,-0.31,-0.09,-0.21,-0.37,-0.17,0.18,0.3,-0.19,0.05,0.38,-0.22,-0.11,-0.2,0.53
CDC42EP5,NA,-0.23,-0.11,0.16,0.7,-0.33,-0.11,0.11,NA,NA,0.43,0.69,-0.03,-0.55,0.62,-0.21,-0.23,0.54,-0.16
CDC5L,-0.14,-0.22,-0.22,-0.11,0.09,-0.2,-0.05,-0.13,-0.18,-0.19,0.03,0.14,-0.22,-0.3,0.11,-0.08,-0.19,-0.13,0.23
CDC73,0,-0.05,-0.09,-0.09,0.24,-0.21,-0.04,-0.12,-0.08,0,0.2,0.24,-0.05,-0.19,0.07,0.11,-0.09,-0.13,0.22
CDCP1,NA,-0.24,-1.22,-0.28,-0.75,-1.04,-0.99,-0.67,NA,NA,-0.67,-0.42,-0.82,-0.33,-0.33,-0.59,-0.58,-1.77,0.1
CDH1,0.54,0.56,0.55,0.16,0.25,0.49,0.5,0.31,0.58,0.29,0.31,0.35,0.73,0.48,0.93,0.64,0.32,0.35,0.34
CDH11,0.76,0.21,0.76,NA,0.84,NA,NA,NA,0.98,0.81,0.1,1.55,0.36,0.57,-0.04,NA,0.7,NA,1.7
CDH13,-0.83,-1.09,-1.18,-0.62,-0.51,-0.88,-0.71,-0.75,-1.09,-1.07,-1.09,-0.24,-0.92,-0.65,-0.21,-1,-1.41,-0.78,0.37
CDH16,0.75,0.93,0.7,-0.18,-0.13,0.66,0.86,0.86,0.63,0.52,0.2,-0.67,0.75,0.87,0.76,0.92,0.35,0.65,-0.09
CDH2,0.6,1,0.67,0.52,-0.78,0.59,0.48,0.85,0.34,0.64,-0.57,-1.14,0.55,0.62,-0.21,0.67,0.93,0.62,-0.98
CDH5,-0.46,-0.63,-0.35,-0.49,-0.12,-0.39,-0.26,-0.35,-0.55,-0.19,-0.26,0.08,0.04,-0.01,-0.25,-0.6,0.06,-0.12,0
CDH6,0.17,0.17,-0.06,0.34,0.41,-0.29,-0.33,0.02,-0.05,0,-0.6,0.25,0.03,-0.14,-0.91,0.21,0.3,0.06,-0.46
CDHR2,1.04,0.9,0.51,0.35,-0.57,0.69,0.45,0.97,0.67,0.36,-0.2,-1.45,0.56,0.69,-0.09,0.72,1.06,0.66,-1.28
CDHR5,1.31,0.6,0.93,0.55,-0.8,1.32,0.86,1.51,0.53,1.03,-0.23,-1.86,1.34,1.11,0.18,0.97,1.61,1.36,-0.94
CDIP1,0.42,0.56,0.89,0.35,-0.11,1.15,0.7,0.68,0.51,0.41,0.1,NA,0.58,0.36,NA,0.25,-0.19,1.12,-0.3
CDIPT,0.33,0.09,0.25,0.28,0.28,0.64,-0.31,0.25,-0.06,0.45,-0.56,0.71,0.03,0.32,0.89,0.37,-0.08,0.48,0.55
CDK1,NA,NA,-1.38,NA,-0.53,-1.5,-1.24,NA,NA,NA,-0.45,-0.72,-0.86,NA,-0.66,NA,-1.32,-1.79,NA
CDK11B,-0.01,-0.08,-0.19,-0.12,0.13,-0.19,-0.13,-0.19,-0.09,-0.19,0.02,0.17,-0.1,-0.02,0.09,-0.09,-0.31,-0.22,0.41
CDK12,-0.01,-0.05,-0.17,0.15,-0.13,-0.05,0.01,0.26,0.18,0.08,-0.13,0.21,-0.34,-0.07,-0.18,-0.02,-0.32,0.08,0.46
CDK13,0.2,-0.07,0.02,-0.14,0.62,-0.31,-0.23,-0.16,0.5,-0.19,-0.21,0.34,0.27,0.05,0.03,0.01,-0.19,-0.08,0.25
CDK14,0.39,-0.7,0.4,0.18,NA,0.15,0.13,0.03,0.11,0.23,0.07,NA,0.2,-0.16,NA,-0.02,NA,0.31,-0.09
CDK16,-0.38,-0.09,NA,-0.15,-0.19,-0.13,-0.2,0.08,0.18,-0.39,NA,-0.65,NA,-0.1,0.19,0.05,-0.25,-0.02,-0.47
CDK17,-0.82,-0.31,-0.59,-0.43,-0.13,-0.39,-0.42,-0.38,-0.37,-0.48,-0.49,-0.43,-0.56,-0.45,-0.67,-0.84,0.16,-0.47,-0.1
CDK18,-0.63,-0.78,-0.85,-0.98,-1.54,-0.8,-0.77,-0.79,-0.57,-0.45,-1.12,-1.08,-0.93,-1.29,-0.67,-0.96,-0.88,-0.98,-1.25
CDK2,-0.25,-0.66,-0.21,-0.39,0.03,-0.4,-0.36,-0.42,-0.07,-0.14,-0.21,-0.35,-0.4,-0.45,-0.39,-0.39,-0.19,-0.4,0.19
CDK2AP1,-0.09,0,-0.17,0.15,0.29,0.06,0.16,-0.21,-0.01,-0.07,0.21,0.81,-0.05,-0.04,0.39,0.1,-0.23,0.27,0.65
CDK4,0.09,-0.13,0.04,-0.05,-0.56,-0.37,-0.27,-0.21,-0.2,-0.22,-0.29,-0.46,-0.05,-0.08,-0.51,-0.22,-0.36,-0.31,-0.17
CDK5,0.06,0.11,0.06,-0.06,-0.24,-0.03,0.12,0.05,0.07,-0.05,-0.19,-0.25,0.12,0.01,-0.1,0.05,0,-0.08,-0.49
CDK5RAP1,0.1,0.05,-0.16,0.2,-0.38,0.24,0.14,0.45,0.43,0.43,-0.25,-0.48,0.13,-0.12,0.06,0.12,0.12,0.12,-0.15
CDK5RAP2,0.76,-0.33,-0.44,0.07,0.23,-0.3,-0.37,0.28,0.68,0.66,0.03,-0.05,-0.12,-0.17,-0.06,-0.06,0.05,0.01,0.17
CDK5RAP3,0.19,0.08,0.09,0.15,0.13,0.23,0,0.04,0.19,0.08,0.04,-0.01,0.04,0.09,-0.02,0.13,0.17,0.09,-0.1
CDK6,-0.4,-0.4,-0.4,-0.22,-0.32,-0.37,-0.36,-0.76,-0.37,-0.12,-0.14,-0.21,-0.46,-0.49,-0.3,-0.28,-0.56,-0.36,0.58
CDK7,-0.16,0.11,0.1,0.06,0.22,0.12,0.04,0.04,-0.11,-0.11,0.11,0.15,-0.05,0.16,0.21,0.05,-0.08,0.1,0.5
CDK9,-0.18,-0.23,-0.02,-0.1,0.15,-0.12,-0.18,-0.12,0,-0.18,-0.12,0.34,-0.11,-0.12,0.13,-0.07,-0.17,-0.19,0.25
CDKAL1,-0.09,-0.13,-0.39,-0.14,0.04,-0.14,-0.27,-0.13,-0.62,-0.31,-0.04,-0.19,0.3,-0.14,0.15,-0.29,-0.04,-0.32,0.12
CDKN1B,-0.22,0.01,0.2,0.1,-0.05,-0.17,-0.07,-0.25,-0.34,0.11,0.23,0.9,-0.08,0.08,-0.26,0.01,-0.14,-0.06,0.19
CDKN2AIP,0.1,0.05,0.04,-0.16,0.42,-0.15,0.11,-0.27,-0.03,0.1,0.2,0.49,-0.05,0.12,0.2,0.04,-0.09,0.04,0.59
CDKN2AIPNL,0.03,-0.29,-0.25,-0.45,1.09,0.59,0.04,-0.19,0.32,-0.62,-0.05,-0.09,-0.2,-0.37,-0.1,-0.48,0.57,-0.07,0.27
CDKN2C,-0.37,-0.73,-0.45,-0.22,-0.68,-0.23,-0.06,-0.43,-0.27,-0.29,-0.19,-0.09,-0.34,-0.27,-0.39,-0.52,-0.59,-0.03,-0.04
CDR2,0.5,-0.15,-0.21,0.2,-0.12,0.34,0.35,0.07,0.06,0.01,0.14,-0.03,0.05,0.06,0.09,0.15,-0.13,0.58,-0.24
