"","","","AP-SS2L","AP-94ED","AP-9D3B","AP-UG7J","AP-5MX6","AP-7KJ6","AP-KGMR","AP-RBLG","AP-YF3B","AP-QAHT","AP-HFEA","AP-G79N","AP-U8MP","AP-MAZ4","AP-ZLDH","AP-2XNK","AP-VLXG","AP-MJ52","AP-JKPX","AP-WTXJ","AP-HMFR","AP-SJVE","AP-AGZG","AP-5JDU","AP-FX68","AP-LWHD","AP-RA2G","AP-CT3G","AP-52RG","AP-B2SL","AP-EZEX","AP-TBFQ","AP-352Q","AP-DN2V","AP-YTZ8","AP-5L2V","AP-9UHJ","AP-E98M","AP-KX5B","AP-V6UJ","AP-KXUT","AP-DM87","AP-WDKZ","AP-N8FG","AP-AJWE","AP-DT88","AP-6EWG","AP-8MWD","AP-W455","AP-D9X4","AP-4HAU","AP-9PXS","AP-A5NG","AP-D35H","AP-HKYN","AP-XSR5","AP-AAFC","AP-JDN4","AP-XVLY","AP-NMZS","AP-EFHT","AP-4M7L","AP-8PRJ","AP-4LRG","AP-3336","AP-K24D","AP-27JZ","AP-XCJX","AP-QUHC","AP-QD4Q","AP-62LT","AP-E7CU","AP-HML4","AP-DMUM","AP-RQNH","AP-EPNF","AP-B9CH","AP-67ZV","AP-JK59","AP-9LNA","AP-F595","AP-JBET","AP-3FY5","AP-MGNN","AP-WPAM","AP-2E8Q","AP-7GDN"
"NP_001070908.1:s656","BCLAF1 s656","BCLAF1","0.46","-0.44","0.54","-1.32","0.65","0.3","-0.2","-0.35","-0.18","0.22","0.19","-0.49","NaN","-0.07","-0.83","-0.28","0","-0.4","-0.86","0.41","-0.73","NaN","0.34","1.07","NaN","-0.7","NaN","-0.43","-0.8","1.84","-0.69","-0.39","0.54","-0.47","-0.5","1.12","0.96","0.25","-1.02","-0.63","1","-0.41","NaN","-0.57","-0.31","-0.5","-0.89","-0.75","-0.85","NaN","1.28","0.48","0.28","-1.02","NaN","0.39","-0.05","-0.47","-0.65","1.24","0.55","0.22","-1.76","0.16","-0.69","-0.34","0.04","NaN","0.93","-0.36","-0.99","-0.36","-0.06","-0.91","-0.4","-0.78","NaN","-0.67","1.24","-0.89","0.22","0.54","-0.61","0.19","0.37","-0.2","0.38"
"NP_001070910.1:s233","HNRNPC s233","HNRNPC","1.24","0.29","-0.47","-0.2","0.22","-0.64","0.4","0.07","-0.55","-1.57","-0.07","-0.15","NaN","1.18","-0.41","0.38","0.56","-0.64","-0.69","0.3","-0.14","NaN","0.05","-0.71","NaN","0","NaN","-0.14","-0.72","0.9","-0.97","-0.25","1.05","0.46","-0.26","0.24","-0.27","-0.77","-0.32","-0.3","-0.29","0.39","NaN","-0.56","-2.33","-0.04","-0.64","-0.02","-0.09","NaN","0.42","-0.23","0.3","-0.11","NaN","0.59","0.52","-0.64","-0.58","0.09","-0.73","-0.51","-0.86","-0.33","-0.27","-0.95","0.12","NaN","-0.41","-0.36","-1.02","0.3","-0.11","-0.72","0.51","-0.79","NaN","-0.65","0.09","-0.52","-0.55","-0.7","-0.22","0.08","1.29","0.55","1.04"
"NP_001072989.1:s75","KTN1 s75","KTN1","NaN","NaN","0.32","NaN","NaN","-0.57","NaN","NaN","NaN","-0.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.91","NaN","NaN","NaN","NaN","NaN","NaN","-0.68","0.46","NaN","NaN","0.68","NaN","NaN","NaN","NaN","-0.14","NaN","NaN","-0.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.48","NaN","-0.11","0.31","-0.3","NaN","NaN","NaN","NaN","NaN","NaN","-0.89","NaN","NaN","-0.09","NaN","NaN","NaN","NaN","NaN","NaN","0.35","NaN","0.25","0.49","-0.4","NaN","NaN","NaN","NaN"
"NP_001072989.1:t153","KTN1 t153","KTN1","NaN","NaN","1.41","NaN","NaN","-0.78","NaN","NaN","NaN","-1.87","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.73","NaN","NaN","NaN","NaN","NaN","NaN","-0.84","-0.46","NaN","NaN","-0.12","NaN","NaN","NaN","NaN","-0.68","NaN","NaN","-0.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.17","NaN","-0.65","-0.84","-0.23","NaN","NaN","NaN","NaN","NaN","NaN","-1.74","NaN","NaN","-0.11","NaN","NaN","NaN","NaN","NaN","NaN","-1.03","NaN","0.26","0.33","-0.77","NaN","NaN","NaN","NaN"
"NP_001073027.1:s193","HNRNPUL2 s193","HNRNPUL2","NaN","NaN","0.79","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.1","NaN","NaN","NaN","NaN","NaN","NaN","-0.36","-1.31","NaN","-0.41","NaN","NaN","NaN","0.37","-0.66","NaN","NaN","NaN","0.56","NaN","NaN","0.98","-0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.48","NaN","NaN","NaN","NaN","NaN","-0.31","NaN","-0.26","0.91","1.01","0.28","0.03","NaN","NaN","NaN"
"NP_001073027.1:s228","HNRNPUL2 s228","HNRNPUL2","NaN","NaN","NaN","-0.19","NaN","NaN","NaN","NaN","NaN","NaN","-0.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.13","-2.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.42","-0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001073860.1:s157","SP100 s157","SP100","0.04","0.83","0.69","-0.23","0.63","-0.5","0.69","-0.27","0.4","-0.55","0.25","1.08","NaN","0.42","-0.31","-0.01","-1.03","-1.05","0.09","0.2","-0.13","NaN","0.27","-1","NaN","0.22","NaN","0.25","-0.08","-0.24","-1.43","0.16","-0.2","0.24","0.06","-0.73","-0.23","-0.7","0.44","-0.1","-0.12","0.48","NaN","-0.35","-2.19","0.17","-0.15","-0.66","-0.16","NaN","0.56","-0.51","0.13","-0.39","NaN","0.55","0.82","0.03","-0.51","0.53","0.68","0.13","-0.88","0.48","-0.71","-0.36","0.08","NaN","-0.22","0.15","-0.15","0.26","-0.11","-0.31","-0.12","-0.61","NaN","-0.28","-0.25","-0.11","-0.31","-0.26","-0.37","0.79","-0.74","1.01","-0.43"
"NP_001073964.2:s1857","TNRC18 s1857","TNRC18","NaN","NaN","NaN","NaN","NaN","NaN","-0.06","-0.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.2","NaN","NaN","0.55","NaN","0.65","NaN","NaN","NaN","NaN","NaN","NaN","0.59","0.03","NaN","-0.05","-0.25","1.09","NaN","NaN","NaN","NaN","NaN","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.25","NaN","NaN","NaN","NaN","NaN","0.47","0.33","NaN","NaN","0.11","NaN","NaN","NaN","NaN","NaN","-1.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","NaN","NaN","-0.98","NaN","NaN","NaN","-0.19","NaN","0.06","NaN","NaN","NaN","0.91","NaN","0.55","0.26"
"NP_001074248.1:s408","MYO1C s408","MYO1C","0.65","NaN","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.12","NaN","NaN","-0.88","NaN","0.08","NaN","NaN","0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.09","NaN","NaN","NaN","-0.38","NaN","NaN","NaN","NaN","-0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001074324.1:s258","PXN s258","PXN","NaN","NaN","0.8","NaN","NaN","NaN","NaN","-1.13","-0.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.31","NaN","NaN","NaN","NaN","-1.3","-0.15","-0.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.52","NaN","NaN","NaN","0.62","NaN","-0.73","0.13","NaN","0.08","0.41","NaN","NaN","NaN","NaN","NaN","-0.7","NaN","NaN","0.15","0.14","-0.38","NaN","NaN","NaN","0.33","NaN","NaN","NaN","NaN","-0.32","NaN","-0.42","NaN","0.09","NaN","NaN","NaN","NaN","0.7","0.57","-0.07","NaN","NaN","-1.24","NaN"
"NP_001074324.1:s272","PXN s272","PXN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.07","NaN","NaN","-0.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.91"
"NP_001078927.1:s252","CTNND1 s252","CTNND1","-0.51","-0.12","0.3","-0.34","0.77","0.31","-1.94","-0.49","-0.54","-1.42","-0.89","0.63","NaN","-1.53","-0.67","-0.6","-1.79","-0.9","1.67","0.53","0.42","NaN","0.09","0.23","NaN","0.52","NaN","0.99","0.17","0.49","-0.72","-0.28","0.7","-0.3","-0.88","0.04","-1.01","0.13","0.29","-0.67","0.63","-0.29","NaN","-1.43","-2.69","0.1","0.02","-1.15","-0.36","NaN","0.61","-0.35","0.64","-0.02","NaN","-0.13","0.77","-1.2","-1.76","1.05","-0.11","0.16","-1.14","1.02","-0.31","-0.8","-0.98","NaN","1.5","-0.67","-0.64","0.37","1.09","-0.53","0.12","-0.65","NaN","-0.36","0.39","0.73","0.74","-0.02","0.61","-0.92","-0.61","-0.57","1.2"
"NP_001078927.1:s346","CTNND1 s346","CTNND1","NaN","-0.14","NaN","-0.87","NaN","0.13","-1.02","NaN","NaN","-0.76","-0.11","0.25","NaN","-0.25","NaN","0.48","0.03","NaN","0.17","NaN","-0.09","NaN","NaN","-0.94","NaN","NaN","NaN","0.73","-0.18","-0.15","NaN","NaN","NaN","0.39","-0.22","-0.37","0.09","0.91","-0.23","-0.2","-0.01","NaN","NaN","-0.9","-2.48","NaN","-0.5","NaN","NaN","NaN","NaN","NaN","-0.73","-0.47","NaN","0.5","-0.23","NaN","-0.28","-0.07","NaN","NaN","NaN","-0.15","0.13","NaN","NaN","NaN","0.85","NaN","-0.38","NaN","-0.1","NaN","NaN","NaN","NaN","-0.85","0.77","-0.32","NaN","NaN","NaN","1.49","0","NaN","1.03"
"NP_001078927.1:s349","CTNND1 s349","CTNND1","NaN","-0.79","NaN","-0.73","NaN","NaN","-1.02","NaN","NaN","NaN","0.32","0.06","NaN","-0.88","NaN","1.7","-0.22","NaN","0.04","NaN","NaN","NaN","NaN","0.34","NaN","NaN","NaN","-0.17","NaN","NaN","NaN","NaN","NaN","-0.55","0.61","0.45","NaN","NaN","NaN","-0.25","NaN","NaN","NaN","-0.5","-1.72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.88","-0.46","NaN","-0.82","NaN","NaN","NaN","NaN","-0.44","0.7","NaN","NaN","NaN","NaN","NaN","-0.64","NaN","-0.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.39","NaN","1.48"
"NP_001087.2:s455","ACLY s455","ACLY","NaN","NaN","NaN","NaN","NaN","-0.36","-1.95","NaN","NaN","-1.43","NaN","NaN","1.09","NaN","NaN","-0.37","NaN","NaN","1.27","NaN","NaN","-1.3","NaN","NaN","0.17","NaN","-0.2","0.54","NaN","-1.34","NaN","NaN","NaN","NaN","NaN","NaN","-1.59","-0.36","NaN","-0.05","-0.21","NaN","-2.22","NaN","NaN","NaN","NaN","NaN","NaN","0.16","NaN","NaN","NaN","NaN","0.87","NaN","0.35","NaN","-1.21","-0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.83","-0.87","NaN","-0.85","NaN","NaN","NaN","NaN","NaN","0.34","NaN","-1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.61"
"NP_001091868.1:s173","COPA s173","COPA","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.47","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.16","NaN","NaN","NaN","NaN","NaN","0.69","0.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.93","NaN","0.06","NaN","NaN","NaN","0.14","NaN","NaN","NaN"
"NP_001091886.1:s194","HDAC7 s194","HDAC7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.01","NaN","NaN","NaN","NaN","NaN","0.71","0.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.23","NaN","0.31","NaN","NaN","NaN","0.81","NaN","NaN","NaN"
"NP_001091954.1:s1069","SLC4A4 s1069","SLC4A4","NaN","NaN","0.3","NaN","NaN","-1.27","NaN","NaN","NaN","-1.19","NaN","NaN","0.44","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.71","NaN","NaN","0.33","NaN","-1.29","NaN","NaN","0.47","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.52","NaN","NaN","0.54","NaN","-1.05","NaN","NaN","-0.86","NaN","NaN","-0.94","-0.77","NaN","NaN","NaN","NaN","0.44","NaN","NaN","-0.91","NaN","-0.42","-1.13","1.54","NaN","NaN","NaN","NaN","NaN","-1.19","-0.21","NaN","NaN","-0.01","NaN","NaN","NaN","NaN","1.08","NaN","0.11","NaN","-0.18","-0.45","0.1","NaN","NaN","NaN","NaN"
"NP_001091954.1:s223","SLC4A4 s223","SLC4A4","NaN","NaN","NaN","NaN","NaN","-2.15","NaN","NaN","NaN","-1.16","NaN","NaN","NaN","NaN","NaN","-3.11","NaN","NaN","0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","NaN","-2.51","NaN","NaN","NaN","NaN","NaN","NaN","-2.52","1.1","NaN","-2.32","-0.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.74","NaN","-1.82","-1.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.66","NaN","-1.87","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.29"
"NP_001091954.1:t1071","SLC4A4 t1071","SLC4A4","NaN","NaN","NaN","NaN","NaN","NaN","-2.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.85","NaN","NaN","0.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-2.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.77","NaN","-1.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.54"
"NP_001091974.1:s601","DDX17 s601","DDX17","NaN","NaN","0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.1","NaN","NaN","-0.43","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.61","NaN","NaN","0.02","0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.68","-0.13","0.22","NaN","NaN","NaN","NaN"
"NP_001091974.1:s64","DDX17 s64","DDX17","NaN","NaN","0.41","NaN","NaN","-0.82","NaN","-2.28","NaN","-0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.55","-0.02","-0.82","0.05","NaN","NaN","NaN","-0.13","-0.07","NaN","NaN","-0.31","NaN","NaN","NaN","NaN","0.24","NaN","NaN","-1.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.22","NaN","0.97","-0.08","0.66","-1.84","NaN","NaN","NaN","NaN","NaN","-0.33","NaN","NaN","0.4","NaN","-0.73","NaN","NaN","NaN","NaN","-0.05","NaN","-0.16","-0.84","0.91","NaN","NaN","-0.49","NaN"
"NP_001092006.1:t623","USP5 t623","USP5","NaN","NaN","NaN","-0.67","NaN","0.24","-0.54","NaN","NaN","-0.57","-0.91","NaN","NaN","NaN","NaN","-0.78","NaN","NaN","-0.95","NaN","0.59","NaN","NaN","0.37","NaN","NaN","NaN","1.26","-0.61","0.59","NaN","NaN","NaN","NaN","NaN","-1.18","0.31","0","-0.27","0.37","0.18","NaN","NaN","0.5","-0.67","NaN","-0.84","NaN","NaN","NaN","NaN","NaN","-0.29","0.01","NaN","-0.09","0.32","NaN","-1.32","1.31","NaN","NaN","NaN","-0.62","-0.88","NaN","NaN","NaN","-0.59","NaN","-0.06","NaN","NaN","NaN","NaN","NaN","NaN","-0.63","0.71","-0.52","NaN","NaN","NaN","0.95","NaN","NaN","-0.44"
"NP_001092049.2:s386","IRAG1 s386","IRAG1","NaN","NaN","0.31","-0.07","NaN","0.68","-0.82","NaN","-0.12","0.22","-0.15","NaN","0.66","NaN","NaN","-0.73","NaN","NaN","-1.14","NaN","-0.5","-0.01","NaN","-0.4","-0.35","0.2","-0.65","-0.73","0.22","-0.65","NaN","NaN","NaN","NaN","NaN","-0.12","-0.18","-0.02","-0.34","-0.8","0.18","0.57","0.89","0.56","-2.14","0.12","-0.66","-0.56","0.46","0.3","-0.74","-1.22","0.04","0.57","-0.82","-0.09","0.69","0.75","0.35","0.16","0.18","0.7","NaN","0.56","0.33","NaN","-0.85","-1.01","-0.08","NaN","1.19","0.15","NaN","NaN","NaN","0.27","-1.17","0.08","-0.16","-0.08","0.03","0.54","-0.04","-2.22","NaN","NaN","-0.27"
"NP_001092872.1:s340","CCNK s340","CCNK","1.34","0.62","NaN","-0.67","0.81","0.27","-0.78","-0.14","-0.75","-1.11","-0.02","-1.69","NaN","0.51","-0.42","0.03","0.03","-0.41","0.35","0.37","-0.27","NaN","0.39","0.67","NaN","0.55","NaN","0.23","-0.51","0.51","-1.22","0.33","0.81","0.62","-0.17","0.98","-0.03","-0.86","-0.23","-0.07","0.37","0.57","NaN","-0.19","-0.7","NaN","-0.37","0.18","NaN","NaN","0.18","-0.77","0.03","-0.42","NaN","0.07","0.19","NaN","-0.89","0.02","NaN","NaN","-0.9","0.23","-1.15","-0.27","-0.04","NaN","-0.18","0.14","-0.8","NaN","-0.34","0.01","-0.05","-0.24","NaN","-0.97","-0.16","-0.29","NaN","NaN","NaN","0.46","0.12","0.63","0.69"
"NP_001093.1:s140","ACTN1 s140","ACTN1","0.21","NaN","NaN","-0.3","0.21","-0.07","0.32","NaN","NaN","0.72","-0.6","NaN","NaN","NaN","-1.27","-0.16","NaN","-0.63","-0.66","0.12","-0.11","NaN","-0.24","-0.36","NaN","NaN","NaN","-0.01","0.11","-1.07","NaN","NaN","NaN","NaN","NaN","-0.06","0.25","0.04","0.17","-0.18","-0.64","NaN","NaN","-1.12","-2.53","NaN","0.35","NaN","NaN","NaN","NaN","NaN","0.3","0.3","NaN","0.4","0.23","NaN","0.39","0.11","NaN","NaN","NaN","-0.08","-1.27","-1.53","NaN","NaN","-0.26","-0.03","-0.3","NaN","NaN","NaN","-0.77","NaN","NaN","0.5","0.26","0.28","NaN","NaN","NaN","1.11","NaN","NaN","-0.04"
"NP_001094383.2:s390","PACS2 s390","PACS2","NaN","NaN","1.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.47","NaN","NaN","-0.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.02","NaN","NaN","-0.07","0.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.43","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.35","0.49","-0.32","NaN","NaN","NaN","NaN"
"NP_001094383.2:s416","PACS2 s416","PACS2","NaN","NaN","NaN","NaN","NaN","NaN","-1.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.34","NaN","NaN","-0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.75","NaN","-0.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.05"
"NP_001104026.1:s1081","FLNA s1081","FLNA","NaN","NaN","NaN","1.52","NaN","NaN","NaN","NaN","NaN","NaN","-0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.42","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.29","-0.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.49","-1.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001104026.1:s1630","FLNA s1630","FLNA","NaN","NaN","NaN","0.46","NaN","NaN","NaN","NaN","NaN","NaN","-0.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.07","NaN","NaN","-0.07","NaN","NaN","NaN","NaN","-0.37","NaN","NaN","NaN","NaN","NaN","NaN","0.05","NaN","NaN","-0.02","NaN","NaN","NaN","NaN","0.1","-0.11","NaN","-0.96","NaN","NaN","NaN","NaN","NaN","0.91","-0.05","NaN","-0.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.3","0.08","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.03","NaN","0.24","NaN","NaN","NaN","0.12","NaN","NaN","NaN"
"NP_001104026.1:s2152s2158","FLNA s2152s2158","FLNA","NaN","-0.5","NaN","0.15","NaN","0.65","-0.19","-0.78","NaN","-0.32","0.04","-0.6","NaN","-0.36","NaN","-0.52","0.72","NaN","-0.67","NaN","-1.3","NaN","NaN","-0.57","NaN","NaN","NaN","-1.05","0.09","-1.22","-2.08","0.92","-1.88","0.47","0.62","-0.06","-0.11","-0.97","0.34","-1.01","0.56","NaN","NaN","-1.31","-1.65","NaN","-0.7","NaN","NaN","NaN","NaN","NaN","0.61","0.3","NaN","0.6","0.11","NaN","0.75","-0.64","NaN","NaN","-0.98","0.36","0.1","NaN","NaN","NaN","-0.74","NaN","-0.24","NaN","-1.37","-0.97","NaN","NaN","NaN","-1.07","0.08","-0.05","NaN","NaN","NaN","0.21","-0.9","0.51","-0.09"
"NP_001104026.1:s2319","FLNA s2319","FLNA","NaN","NaN","0.46","-0.34","NaN","NaN","NaN","NaN","NaN","NaN","0.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.61","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.34","-0.4","0.2","NaN","NaN","0.17","NaN","NaN","NaN","NaN","NaN","NaN","0.45","NaN","1.22","NaN","NaN","-0.11","0.59","NaN","0.7","0.29","NaN","NaN","NaN","NaN","NaN","NaN","0.58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.07","-0.18","-0.26","NaN","NaN","NaN","NaN"
"NP_001106203.2:s590","MCF2L s590","MCF2L","NaN","-0.17","NaN","NaN","NaN","NaN","-1.29","NaN","NaN","NaN","NaN","0.13","NaN","0.08","NaN","-0.16","0.3","NaN","-0.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.5","NaN","NaN","NaN","NaN","NaN","-0.42","0.02","NaN","NaN","NaN","NaN","-0.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.03","NaN","-0.56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.08","NaN","0.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.49","NaN","0.52"
